"1" "2" "3" "4"
"sampling_routine" "inclusive" "strict" "superstrict" "superstrict_by_tribe"
"locus_sample_Prop_threshold" "0.1" "0.2" "0.2" "0.2"
"locus_sample_length_Prop_threshold" "0.1" "0.2" "0.2" "0.2"
"sample_target_length_threshold" "0.0" "0.4" "0.4" "0.4"
"sample_locus_Prop_threshold" "0.0" "0.2" "0.2" "0.2"
"locus_remove_for_all_samples_SNPs_theshold" "none" "outliers" "0.02" "0.02"
"sample_remove_outlier_loci" "yes" "yes" "yes" "yes"
"no_libraries" "380" "361" "361" "361"
"mean_ASTRAL_taxon_occupancy" "818.4516" "861.5233" "243.9123" "394.2986"
"no_species" "375" "356" "356" "356"
"no_genera" "332" "317" "317" "317"
"no_tribes" "61" "59" "59" "59"
"LPP_mean" "0.938" "0.946" "0.918" "0.877"
"LPP_median" "1" "1" "1" "1"
"q1_mean" "0.549" "0.561" "0.569" "0.557"
"q1_median" "0.482" "0.498" "0.498" "0.493"
