"clade" "main_lineage" "nuclear_BS" "nuclear_gCF" "nuclear_sCF" "nuclear_LPP" "nuclear_Q1" "plastome_BS" "plastome_sCF" "nuclear_crown_age_median" "nuclear_crown_age_95CI_lower" "nuclear_crown_age_95CI_upper" "nuclear_stem_age_median" "nuclear_stem_age_95CI_lower" "nuclear_stem_age_95CI_upper" "plastome_crown_age_median" "plastome_crown_age_95CI_lower" "plastome_crown_age_95CI_upper" "plastome_stem_age_median" "plastome_stem_age_95CI_lower" "plastome_stem_age_95CI_upper"
"10" "Anastaticeae" "" "*" "65" "63" "1" "0.854" "*" "71" "12.4089965" "11.760899" "13.326765" "17.140649" "16.211798" "18.361373" "9.2067825" "5.397746" "14.569104" "11.2674825" "6.81648500000001" "19.363458"
"17" "Biscutelleae" "" "*" "2" "39" "1" "0.419" "*" "54" "16.765825" "15.44463" "17.892125" "18.688995" "17.482378" "19.592641" "12.986877" "8.62515100000002" "19.457079" "14.755257" "9.63099700000001" "22.352983"
"27" "Cochlearieae" "" "*" "89" "80" "1" "0.922" "*" "88" "7.53517550000002" "6.17845600000004" "9.01170899999998" "16.9033785" "15.873819" "18.0843" "6.3948055" "4.23770700000003" "9.83163300000004" "12.1323475" "6.82933399999999" "19.527335"
"43" "Hillielleae" "" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "11.2367275" "6.280422" "18.875118"
"44" "Iberideae I" "" "-" "-" "-" "-" "-" "*" "94" "-" "-" "-" "17.140649" "16.211798" "18.361373" "2.83497799999999" "1.59426600000003" "4.47629400000004" "10.875808" "6.25399699999998" "18.53543"
"45" "Iberideae II" "" "*" "84" "92" "1" "0.902" "*" "99" "1.92632100000002" "1.69962700000001" "2.21922699999999" "16.8447645" "15.362847" "18.372757" "0.208040000000018" "0.114980000000003" "0.344386000000029" "10.875808" "6.25399699999998" "18.53543"
"50" "Megacarpaeeae" "" "*" "73" "69" "1" "0.781" "*" "75" "11.4573755" "10.626861" "12.726353" "19.231227" "18.064033" "20.373081" "7.44225800000002" "4.54029100000002" "11.869586" "11.1264195" "6.217443" "18.682603"
"7" "Aethionemeae" "basal" "*" "75" "65" "1" "0.936" "*" "87" "15.375751" "14.332602" "16.4455390000001" "24.547381" "23.10925" "25.728352" "8.5654285" "5.58604900000003" "12.375356" "19.706295" "12.961902" "29.008273"
"1" "basal" "basal" "*" "75" "65" "1" "0.936" "*" "87" "15.375751" "14.332602" "16.4455390000001" "24.547381" "23.10925" "25.728352" "8.5654285" "5.58604900000003" "12.375356" "19.706295" "12.961902" "29.008273"
"9" "Alyssopsideae" "I" "*" "54" "73" "1" "0.915" "*" "96" "6.56453550000002" "5.89174400000003" "7.490521" "7.99770300000001" "7.207311" "8.69484400000003" "1.042452" "0.681551000000013" "1.546296" "6.24837900000006" "3.94707900000002" "9.34623300000001"
"14" "Arabidopsideae trib. nov." "I" "*" "69" "68" "1" "0.876" "*" "70" "6.07190400000001" "5.502149" "6.84080999999998" "12.1811835" "11.425348" "13.065959" "4.330861" "2.64173100000004" "6.39102" "5.49814500000001" "3.61535600000001" "8.622438"
"18" "Boechereae" "I" "*" "25" "57" "1" "0.638" "*" "67" "3.59675250000003" "3.318038" "3.96292899999997" "4.03455150000003" "3.62959699999999" "4.417591" "6.35319250000001" "3.98989200000004" "9.09881700000003" "8.09230850000002" "5.22217300000001" "11.990864"
"22" "Camelineae I" "I" "*" "40" "63" "1" "0.751" "*" "42" "6.49615950000002" "5.98852700000002" "7.25399400000002" "9.40751200000002" "8.56968300000001" "9.98701400000002" "5.2137725" "3.33148900000002" "8.11471900000004" "5.49814500000001" "3.61535600000001" "8.622438"
"23" "Camelineae III" "I" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "8.50601250000002" "7.62158500000002" "9.192508" "-" "-" "-" "3.32861800000002" "2.08658000000001" "5.000597"
"24" "Cardamineae" "I" "*" "53" "70" "1" "0.894" "*" "72" "10.465893" "9.76994999999999" "11.366239" "16.3366325" "15.360275" "17.365871" "8.10087800000002" "5.23331500000002" "11.920233" "11.695923" "7.598462" "17.138742"
"31" "Crucihimalayeae" "I" "*" "43" "62" "1" "0.716" "*" "71" "4.88274050000002" "3.72419900000001" "6.06001099999999" "6.11864450000002" "5.43094700000002" "6.92980900000001" "5.63980099999999" "3.54884100000004" "8.10062600000002" "7.09179100000002" "4.42131200000003" "10.222233"
"32" "Descurainieae" "I" "*" "21" "48" "1" "0.685" "*" "49" "11.864726" "10.84676" "12.580268" "14.02738" "13.282785" "15.106598" "10.20797" "6.677279" "14.666153" "10.957132" "7.42248200000002" "16.12519"
"34" "Erysimeae" "I" "-" "-" "-" "-" "-" "*" "95" "-" "-" "-" "6.354838" "5.58116399999999" "7.04944800000001" "1.42922200000002" "0.959938000000037" "2.10140100000004" "5.20055900000001" "3.32482400000004" "7.731312"
"39" "Halimolobeae" "I" "*" "38" "60" "1" "0.703" "*" "71" "2.89571600000002" "2.593276" "3.270557" "4.03455150000003" "3.62959699999999" "4.417591" "5.73398800000001" "3.69534200000002" "8.36073500000003" "8.09230850000002" "5.22217300000001" "11.990864"
"41" "Hemilophieae trib. nov." "I" "*" "32" "50" "1" "0.476" "*" "88" "4.90643200000002" "3.10301200000005" "6.93454600000001" "7.20500950000001" "6.66385700000001" "7.85701900000002" "4.536087" "2.84107300000001" "6.72406800000002" "7.84521150000002" "4.85073600000003" "11.464208"
"2" "I" "I" "*" "5" "52" "1" "0.435" "*" "52" "16.3366325" "15.360275" "17.365871" "20.3591035" "19.269476" "21.664596" "12.5428105" "8.29572000000002" "18.463915" "16.4102665" "10.230255" "24.305822"
"48" "Lepidieae" "I" "*" "51" "60" "1" "0.773" "*" "79" "11.5469775" "10.4283" "12.264446" "15.5327035" "14.606806" "16.442885" "7.82948800000001" "5.07882000000001" "11.288875" "11.8223755" "7.66881500000001" "17.270942"
"49" "Malcolmieae" "I" "-" "-" "-" "-" "-" "*" "93" "-" "-" "-" "6.354838" "5.58116399999999" "7.04944800000001" "0.435814000000029" "0.296980000000019" "0.648784000000006" "5.20055900000001" "3.32482400000004" "7.731312"
"51" "Microlepidieae" "I" "49" "8" "47" "1" "0.499" "*" "66" "6.16486400000001" "5.67377499999999" "6.58266500000001" "7.20500950000001" "6.66385700000001" "7.85701900000002" "4.20692600000002" "2.70000200000003" "6.38541099999999" "7.52100450000001" "4.75513900000001" "10.983293"
"53" "Oreophytoneae" "I" "*" "89" "96" "1" "0.952" "*" "90" "0.201178999999996" "0.0327739999999892" "0.52541100000002" "10.000014" "9.13918000000001" "10.941256" "1.220189" "0.77305400000003" "1.80969300000005" "5.62023849999999" "3.45729500000004" "8.555789"
"54" "Physarieae" "I" "*" "74" "71" "1" "0.872" "*" "84" "8.82492550000001" "8.27747900000001" "9.53916800000002" "12.827963" "11.574861" "13.541526" "6.80019900000002" "4.43174800000001" "9.81045700000003" "10.4786935" "6.670484" "15.174096"
"60" "Smelowskieae" "I" "-" "-" "-" "-" "-" "*" "72" "-" "-" "-" "8.62399250000001" "6.00566600000002" "11.180181" "5.82490350000002" "3.81750200000003" "8.34445600000002" "8.1373705" "5.20526500000003" "11.614992"
"65" "Turritideae" "I" "-" "-" "-" "-" "-" "*" "90" "-" "-" "-" "9.04228900000001" "8.12454800000003" "9.72321600000001" "0.449668500000008" "0.277198000000027" "0.663347000000002" "3.32861800000002" "2.08658000000001" "5.000597"
"66" "Yinshanieae" "I" "-" "-" "-" "-" "-" "*" "92" "-" "-" "-" "8.62399250000001" "6.00566600000002" "11.180181" "1.02715649999999" "0.620554999999996" "1.52525" "8.1373705" "5.20526500000003" "11.614992"
"12" "Aphragmeae" "II" "-" "-" "-" "-" "-" "99" "66" "-" "-" "-" "19.1307835" "17.625373" "20.252051" "9.68580050000001" "5.16877000000001" "15.420095" "10.8688595" "6.003726" "17.890087"
"19" "Brassiceae" "II" "78" "7" "28" "0.524" "0.349" "*" "33" "12.826311" "11.77069" "13.767251" "13.123603" "12.045942" "14.047225" "6.45819699999998" "4.14706800000005" "10.043176" "6.56545600000002" "4.24313200000003" "10.184146"
"21" "Calepineae" "II" "*" "66" "76" "1" "0.907" "*" "73" "6.87333950000002" "6.16485300000004" "7.77155800000003" "16.708946" "15.354019" "17.733686" "6.44282950000002" "4.20221000000002" "9.85359399999999" "10.279552" "6.38157400000004" "15.354605"
"28" "Coluteocarpeae" "II" "*" "26" "39" "1" "0.548" "*" "62" "9.33211450000002" "8.41463000000005" "9.94500100000002" "9.84134650000001" "8.79987" "10.486579" "6.93791000000001" "3.81026000000001" "11.012198" "7.64902700000001" "4.23111200000002" "12.309381"
"29" "Conringieae" "II" "-" "-" "-" "-" "-" "*" "95" "-" "-" "-" "11.7150415" "10.067402" "13.243968" "0.437438" "0.240963999999977" "0.656792999999993" "7.64902700000001" "4.23111200000002" "12.309381"
"37" "Eutremeae" "II" "*" "88" "99" "1" "0.955" "*" "87" "0.68429100000003" "0.460796999999999" "0.942377000000022" "14.6681045" "13.411635" "15.728553" "5.56977300000003" "3.27952300000001" "8.092028" "10.279552" "6.38157400000004" "15.354605"
"38" "Fourraeeae" "II" "*" "30" "79" "1" "0.826" "*" "92" "2.54620450000002" "1.34208100000002" "4.08105000000002" "13.3721175" "12.263156" "14.559729" "2.23644900000001" "1.33855900000002" "3.34349700000001" "7.37258650000001" "4.78014200000001" "11.118786"
"3" "II" "II" "*" "1" "38" "1" "0.438" "-" "-" "19.1307835" "17.625373" "20.252051" "20.100958" "19.011676" "21.265715" "-" "-" "-" "-" "-" "-"
"46" "Isatideae" "II" "*" "78" "73" "1" "0.949" "*" "86" "6.76913800000001" "5.81219300000004" "7.56071900000003" "12.5826815" "11.580019" "13.534556" "3.74560800000003" "2.45972700000003" "5.83586699999999" "7.22980149999998" "4.60817399999999" "11.063482"
"47" "Kernereae" "II" "*" "80" "80" "1" "0.933" "*" "94" "5.62990500000002" "3.86237300000002" "7.58443700000001" "18.216931" "16.747815" "19.1475" "2.07825750000001" "1.28642500000001" "3.170002" "6.68370499999999" "4.37824900000001" "10.115499"
"55" "Plagiolobeae" "II" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "9.84134650000001" "8.79987" "10.486579" "-" "-" "-" "3.0265485" "1.87283500000002" "4.82546800000001"
"57" "Schrenkielleae trib. nov." "II" "-" "-" "-" "-" "-" "*" "96" "-" "-" "-" "13.954526" "12.965158" "15.050757" "0.290296000000005" "0.188277999999997" "0.438718000000009" "7.37258650000001" "4.78014200000001" "11.118786"
"59" "Sisymbrieae" "II" "*" "37" "53" "1" "0.776" "*" "80" "6.557416" "5.91812700000001" "7.29143900000004" "9.31208100000002" "8.35885000000005" "10.218064" "2.16547350000002" "1.339186" "3.182552" "3.84907550000001" "2.29243300000003" "5.69430700000001"
"63" "Thelypodieae" "II" "*" "2" "66" "1" "0.424" "*" "67" "8.26610750000002" "7.479215" "9.13575800000001" "9.31208100000002" "8.35885000000005" "10.218064" "2.78260600000001" "1.54760600000002" "4.30952000000002" "3.84907550000001" "2.29243300000003" "5.69430700000001"
"64" "Thlaspideae" "II" "*" "51" "71" "1" "0.902" "*" "68" "10.8458785" "10.021465" "11.660992" "14.6681045" "13.411635" "15.728553" "8.11205900000002" "5.29252099999999" "12.883041" "11.152455" "6.81192799999999" "17.277593"
"11" "Anchonieae" "III" "*" "55" "66" "1" "0.82" "*" "69" "6.39299150000002" "5.77999800000001" "7.14722400000001" "10.7451475" "10.064206" "11.648932" "6.52327750000001" "3.737369" "10.658042" "9.2929645" "6.04060799999999" "13.879625"
"20" "Buniadeae" "III" "-" "-" "-" "-" "-" "*" "84" "-" "-" "-" "10.7451475" "10.064206" "11.648932" "4.45079400000003" "2.60578300000002" "6.49948700000003" "9.7723355" "6.37957400000005" "14.584055"
"26" "Chorisporeae" "III" "*" "50" "58" "1" "0.912" "*" "57" "8.50982450000002" "7.45588100000002" "9.77876599999999" "9.22010000000002" "8.193864" "10.144883" "10.152974" "6.59264800000004" "14.971633" "11.0957715" "7.14543899999998" "16.299259"
"33" "Dontostemoneae" "III" "*" "73" "76" "1" "0.834" "*" "85" "5.60527900000003" "4.130121" "7.15226199999998" "12.2904745" "11.234913" "13.019255" "5.90154350000003" "3.82778099999999" "8.43078599999998" "14.82169" "9.65107400000004" "22.152453"
"35" "Euclidieae" "III" "*" "25" "43" "1" "0.613" "*" "50" "11.1265125" "10.559449" "11.939332" "12.306295" "11.600581" "13.149081" "10.8561905" "7.21056800000001" "16.00439" "11.8652225" "7.92448300000002" "17.398478"
"42" "Hesperideae" "III" "-" "-" "-" "-" "-" "*" "84" "-" "-" "-" "12.987778" "12.305594" "13.87747" "4.4173145" "2.828988" "6.46310700000001" "9.2929645" "6.04060799999999" "13.879625"
"4" "III" "III" "*" "40" "58" "1" "0.905" "*" "56" "14.4325135" "13.497635" "15.424504" "21.1605335" "19.901301" "22.365759" "15.2554435" "9.78344900000002" "22.815316" "16.1208325" "10.011195" "23.80532"
"58" "Shehbazieae" "III" "-" "-" "-" "-" "-" "*" "94" "-" "-" "-" "9.22010000000002" "8.193864" "10.144883" "1.02710550000001" "0.642729000000031" "1.539464" "11.0957715" "7.14543899999998" "16.299259"
"8" "Alysseae" "IV" "*" "63" "72" "1" "0.948" "*" "73" "13.160669" "11.972415" "13.751207" "17.6775185" "16.3794" "18.687374" "11.4330245" "6.41606899999998" "19.367749" "12.90987" "7.54829700000001" "20.543306"
"13" "Arabideae" "IV" "*" "32" "52" "1" "0.762" NA NA "13.6493" "12.198378" "15.118442" "17.305803" "16.330193" "18.774376" "10.8352915" "6.693727" "17.110345" "12.084349" "6.97346400000002" "18.724627"
"15" "Asperuginoideae trib. nov." "IV" "-" "-" "-" "-" "-" "*" "98" "-" "-" "-" "17.6775185" "16.3794" "18.687374" "0.351947500000009" "0.224318000000011" "0.526808000000017" "14.755257" "9.63099700000001" "22.352983"
"5" "IV" "IV" "98" "3" "36" "0.843" "0.378" "-" "-" "19.928558" "18.655064" "21.334256" "20.456492" "19.244706" "21.565424" "-" "-" "-" "-" "-" "-"
"61" "Stevenieae" "IV" "*" "37" "59" "1" "0.556" "*" "71" "9.88873000000002" "8.70717100000003" "10.692619" "17.305803" "16.330193" "18.774376" "7.75410700000002" "5.34129700000004" "11.669448" "11.369708" "7.30912500000001" "16.419969"
"16" "Asteae" "V" "*" "26" "49" "1" "0.51" "*" "66" "10.3406965" "8.31976600000003" "13.747101" "15.669445" "14.129136" "17.703147" "6.429785" "3.41984000000002" "9.97532200000005" "8.25402600000002" "4.34126200000003" "13.439741"
"25" "Chamireae" "V" "-" "-" "-" "-" "-" "*" "98" "-" "-" "-" "16.8923335" "15.889277" "18.079528" "0.505293000000002" "0.297093000000046" "0.78155900000003" "9.75836700000001" "5.55717900000002" "15.813172"
