"Library_ID", "tribe", "genus", "species", "Library_ID2", "sample_in_inclusive_dataset", "sample_in_strict_dataset", "sample_in_superstrict_dataset", "sample_in_superstrict_by_tribe_dataset", "sample_in_ASTRAL_Pro_dataset", "tree_IQ_TREE_supermatrix_concordance_factors", "sample_in_chloroplast_dataset", "collection", "collection_number", "collection_date", "trait_state", "ASTRAL_taxon_occupancy_inclusive", "ASTRAL_taxon_occupancy_strict", "ASTRAL_taxon_occupancy_superstrict", "ASTRAL_taxon_occupancy_superstrict_by_tribe", "ASTRAL_Pro_taxon_occupancy", "type_specimen", "genus_type_species", "calibration", "old_sample", "species_genus_type", "not_species_genus_type", "allele_divergence", "locus_heterozygosity", "nloci", "HybPhaser_bp", "Lineages_Koch_Al_Shehbaz", "Lineages_Franzke_et_al", "Lineages_Nikolov_et_al", "Lineages_unplaced"
"S0941", "Microlepidieae", "Menkea", "Menkea australis", "S0941", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y", "Z-000161620", "1978", "T", "870", "857", "243", "416", "5093", "", "Y", "", "", "Menkea australis", "", 3.447, 96.55, 928, 949509, "I", "I", "I", ""
"S0947sl", "Microlepidieae", "Irenepharsus", "Irenepharsus phasmatodes", "S0947sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "MEL 2375096", "2008", "T", "971", "960", "280", "796", "6444", "", "Y", "", "", "Irenepharsus phasmatodes", "", 5.095, 89.42, 1049, 1029801, "I", "I", "I", ""
"S0285", "Microlepidieae", "Carinavalva", "Carinavalva glauca", "S0285", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "Ising, no number", "1955", "T", "837", "827", "223", "210", "4855", "", "Y", "", "", "Carinavalva glauca", "", 3.354, 80.34, 890, 966723, "I", "I", "I", ""
"S1424", "Microlepidieae", "Stenopetalum", "Stenopetalum lineare", "S1424", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "L.1844232", "1964", "T", "987", "985", "287", "876", "6287", "", "Y", "", "", "Stenopetalum lineare", "", 3.341, 67.27, 1057, 1092081, "I", "I", "I", ""
"S0895", "Microlepidieae", "Phlegmatospermum", "Phlegmatospermum cochlearinum", "S0895", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y?", "L.1855167", "1960", "T", "945", "940", "267", "461", "5727", "", "Y", "", "", "Phlegmatospermum cochlearinum", "", 4.202, 96.27, 1019, 1055946, "I", "I", "I", ""
"S0741", "Microlepidieae", "Microlepidium", "Microlepidium pilosulum", "S0741", "Y", "Y", "Y", "Y", "Y", "Y", "", "N?", "KM1185", "2001", "T", "957", "952", "277", "243", "5862", "", "Y", "", "", "Microlepidium pilosulum", "", 2.62, 63.21, 1022, 1074492, "I", "I", "I", ""
"S0306", "Microlepidieae", "Blennodia", "Blennodia canescens", "S0306", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "B 10 0054312", "1997", "T", "475", "476", "127", "104", "3217", "", "Y", "", "", "Blennodia canescens", "", 3.432, 92.25, 503, 680112, "I", "I", "I", ""
"S0946", "Microlepidieae", "Scambopus", "Scambopus curvipes", "S0946", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "MEL 2375340", "2008", "T", "890", "887", "246", "740", "5347", "", "Y", "", "", "Scambopus curvipes", "", 4.143, 95.35, 947, 1030875, "I", "I", "I", ""
"S0896", "Microlepidieae", "Harmsiodoxa", "Harmsiodoxa blennodioides", "S0896", "Y", "Y", "Y", "Y", "Y", "Y", "", "N", "L.1827529", "1971", "T", "905", "900", "263", "433", "5345", "", "Y", "", "", "Harmsiodoxa blennodioides", "", 4.799, 99.38, 960, 986319, "I", "I", "I", ""
"S1116", "Microlepidieae", "Cuphonotus", "Cuphonotus humistratus", "S1116", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "CANB919176", "2020", "T", "967", "963", "276", "890", "5927", "", "Y", "", "", "Cuphonotus humistratus", "", 3.588, 81.57, 1031, 1077405, "I", "I", "I", ""
"ERR2789774", "Microlepidieae", "Ballantinia", "Ballantinia antipoda", "ERR2789774", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "", "", "T", "328", "319", "103", "324", "1235", "", "Y", "", "", "Ballantinia antipoda", "", NA, NA, NA, NA, "I", "I", "I", ""
"S0728sl", "Microlepidieae", "Drabastrum", "Drabastrum alpestre", "S0728sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "6124", "1992", "T", "890", "865", "243", "57", "5098", "", "Y", "", "", "Drabastrum alpestre", "", 2.954, 86.6, 963, 773553, "I", "I", "I", ""
"SRR8528342", "Microlepidieae", "Geococcus", "Geococcus pusillus", "SRR8528342", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "Y?", "", "", "T", "705", "709", "194", "488", "4888", "", "Y", "", "", "Geococcus pusillus", "", 3.142, 56.29, 755, 890859, "I", "I", "I", ""
"S0949", "Microlepidieae", "Pachymitus", "Pachymitus cardaminoides", "S0949", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "MEL 2346248", "2010", "T", "975", "972", "286", "803", "5994", "", "Y", "", "", "Pachymitus cardaminoides", "", 4.156, 93.83, 1038, 1093686, "I", "I", "I", ""
"S0509", "Microlepidieae", "Arabidella", "Arabidella trisecta", "S0509", "Y", "Y", "Y", "Y", "Y", "Y", "", "N?", "Brewer 328", "2009", "WT", "978", "975", "280", "512", "6257", "", "Y", "", "", "Arabidella trisecta", "", 4.585, 97.7, 1044, 1088763, "I", "I", "I", ""
"S0435", "Microlepidieae", "Pachycladon", "Pachycladon novae-zelandiae", "S0435", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "5324756", "2000", "T", "958", "954", "275", "501", "6916", "", "Y", "", "", "Pachycladon novae-zelandiae", "", 5.779, 96.87, 1022, 1010373, "I", "I", "I", ""
"S1400", "Microlepidieae", "Pachycladon", "Pachycladon fastigiata", "S1400", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "CHR 518460", "1999", "C", "954", "949", "268", "142", "6708", "", "", "Y", "", "", "Pachycladon fastigiata", 5.755, 95.98, 1020, 1035669, "I", "I", "I", ""
"S1371", "Hemilophieae trib. nov.", "Dipoma", "Dipoma iberideum", "S1371", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "U.1175109", "1930", "T", "948", "943", "266", "607", "5722", "", "Y", "", "", "Dipoma iberideum", "", 6.331, 97.81, 1006, 1018074, "", "", "I", ""
"SRR8528376", "Hemilophieae trib. nov.", "Hemilophia", "Hemilophia rockii", "SRR8528376", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "Ta", "709", "712", "195", "220", "4757", "", "", "", "", "", "Hemilophia rockii", 2.909, 90.89, 757, 889383, "", "", "I", ""
"S0612", "Oreophytoneae", "Oreophyton", "Oreophyton falcatum", "S0612", "Y", "Y", "Y", "Y", "Y", "Y", "", "Y?", "WAG.0143200", "1966", "T", "974", "968", "278", "527", "5766", "", "Y", "", "", "Oreophyton falcatum", "", 2.102, 98.4, 1003, 1078518, "I", "I", "I", ""
"SRR8528350", "Oreophytoneae", "Murbeckiella", "Murbeckiella pinnatifida", "SRR8528350", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "T", "719", "724", "201", "504", "4636", "", "Y", "", "", "Murbeckiella pinnatifida", "", 0.036, 21.11, 739, 919314, "I", "I", "I", ""
"SRR8528357", "Turritideae", "Turritis", "Turritis glabra", "SRR8528357", "Y", "Y", "Y", "Y", "Y", "Y", "Y", "N", "", "", "T", "976", "973", "284", "677", "5783", "", "Y", "", "", "Turritis glabra", "", 0.027, 10.07, 1013, 1093320, "I", "I", "I", ""
"S0721sl", "Camelineae III", "Pseudoarabidopsis", "Pseudoarabidopsis toxophylla", "S0721sl", "Y", "Y", "Y", "Y", "Y", "Y", "", "", "24601", "2015", "T", "966", "966", "278", "67", "5703", "", "Y", "", "", "Pseudoarabidopsis toxophylla", "", 1.512, 96.17, 967, 1108434, "I", "I", "I", ""
