"Tribe" "tips_n" "tips_cp" "tips_shared" "dist_RF_classic" "dist_RF_gen"
"1" "Aethionemeae" 8 13 8 6 0.414316480984139
"2" "Alysseae" 29 30 21 20 0.314059157591074
"3" "Alyssopsideae" 4 4 3 NA NA
"4" "Anastaticeae" 12 16 12 2 0.0801051708244444
"5" "Anchonieae" 8 13 7 6 0.558969721410004
"6" "Aphragmeae" 1 4 0 NA NA
"7" "Arabideae" 24 23 13 10 0.334680591504611
"8" "Arabidopsideae trib. nov." 2 8 2 NA NA
"9" "Asperuginoideae trib. nov." 1 2 1 NA NA
"10" "Asteae" 2 4 2 NA NA
"11" "Biscutelleae" 8 11 5 0 0
"12" "Boechereae" 10 16 7 6 0.612223943255131
"13" "Brassiceae" 50 53 36 42 0.505904253718791
"14" "Buniadeae" 1 4 1 NA NA
"15" "Calepineae" 3 3 3 NA NA
"16" "Camelineae" 0 5 0 NA NA
"17" "Cardamineae" 12 21 9 12 0.636561728312002
"18" "Chamireae" 1 2 1 NA NA
"19" "Chorisporeae" 6 7 5 0 0
"20" "Cochlearieae" 2 7 2 NA NA
"21" "Coluteocarpeae" 13 13 10 4 0.2196487293504
"22" "Conringieae" 1 5 1 NA NA
"23" "Cremolobeae" 5 8 4 0 0
"24" "Crucihimalayeae" 2 4 2 NA NA
"25" "Descurainieae" 5 7 4 0 0
"26" "Dontostemoneae" 3 6 2 NA NA
"27" "Erysimeae" 1 3 1 NA NA
"28" "Euclidieae" 26 26 21 18 0.343214117253814
"29" "Eudemeae" 6 7 4 0 0
"30" "Eutremeae" 2 7 1 NA NA
"31" "Fourraeeae" 2 4 2 NA NA
"32" "Halimolobeae" 5 8 5 2 0.489714670274654
"33" "Heliophileae" 5 8 4 0 0
"34" "Hemilophieae trib. nov." 2 4 2 NA NA
"35" "Hesperideae" 1 5 1 NA NA
"36" "Hillielleae" 0 1 0 NA NA
"37" "Isatideae" 6 6 5 0 0
"38" "Kernereae" 3 6 3 NA NA
"39" "Lepidieae" 5 8 4 2 1
"40" "Malcolmieae" 1 3 1 NA NA
"41" "Megacarpaeeae" 2 5 1 NA NA
"42" "Microlepidieae" 17 14 10 6 0.285847932064908
"43" "Notothlaspideae" 1 2 1 NA NA
"44" "Oreophytoneae" 2 4 2 NA NA
"45" "Physarieae" 7 9 4 0 0
"46" "Plagiolobeae" 1 1 1 NA NA
"47" "Schizopetaleae" 3 6 3 NA NA
"48" "Schrenkielleae trib. nov. " 1 2 1 NA NA
"49" "Shehbazieae" 1 2 1 NA NA
"50" "Sisymbrieae" 5 6 2 NA NA
"51" "Smelowskieae" 1 4 0 NA NA
"52" "Stevenieae" 2 3 2 NA NA
"53" "Subularieae" 2 4 2 NA NA
"54" "Thelypodieae" 27 27 21 36 0.744499165089175
"55" "Thlaspideae" 14 14 11 10 0.429320474225406
"56" "Turritideae" 1 2 1 NA NA
"57" "Yinshanieae" 1 4 1 NA NA
