Library_ID,Tribe,Genus,Species,Name,Lineages_Koch_Al_Shehbaz,Lineages_Franzke_et_al,Lineages_Nikolov_et_al,[<institution-code>],Subsp_or_var,Registered as,[<collection-code>],biomaterial_provider,voucher,Collection_date,Collection_year,Collector,Identifier,Country,Location,Link to online reference,Type status
S1111,Alysseae,Cuprella,homalocarpa,Cuprella homalocarpa,II,exp.II,IV,P,,,,Vanessa Invernon,P05330155,11410,1931,R. Gombault,I. Al-Shehbaz,Syria,"at Jebel Tenf, desert of Syria",,
LN877382,Arabidopsideae trib. nov.,Arabidopsis,halleri,Arabidopsis halleri,,,I,,,,,,,,,,,,,,
S1381,Arabidopsideae trib. nov.,Arabidopsis,halleri,Arabidopsis halleri,I,I,I,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1739932,??/06/1853,1853,Noeldecke,F.M. Muller,Germany,Hanover,https://www.gbif.org/occurrence/2516145483,
SRR8528394,Asteae,Asta,schaffneri,Asta schaffneri var. pringlei,II,exp.II,V,,,,,,,,,,,,,,
S1318,Camelineae,Chrysochamela,velutina,Chrysochamela velutina,I,I,I,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1826190,22/03/1888,1888,P.E.E. Sintenis,,Turkey,"Gaziantep, Rum Kale",https://www.gbif.org/occurrence/2514599218,
S1318-2,Camelineae III,Chrysochamela,velutina,Chrysochamela velutina,I,I,I,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1826190,22/03/1888,1888,P.E.E. Sintenis,,Turkey,"Gaziantep, Rum Kale",https://www.gbif.org/occurrence/2514599218,
S1045,Eudemeae,Alshehbazia,friesii,Alshehbazia friesii,II,exp.II,V,MO,,,MO,Ihsan Al-Shehbaz,H. Trinidad HT-2017,unknown,,H. Trinidad,,Peru,,,
NC_028727,Eutremeae,Eutrema,yunnanense,Eutrema yunnanense,,,II,,,,,,,,,,,,,,
S1337,Eutremeae,Eutrema,yunnanense,Eutrema yunnanense,II,exp.II,II,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1827717,??/06/1908,1908,unknown,,China,Yuman,https://www.gbif.org/occurrence/2514116436,
S1282,Heliophileae,Heliophila,laciniata,Heliophila laciniata,II,exp.II,V,NBG,,,,"Pieter Winter, Shaun Pieterse (SANBI)",NBG0168473-0,30190,1982,E.G.H. Oliver,,South Africa,"Komaggas, canyon NE of village",https://www.gbif.org/occurrence/461955351,
MK637727,Hesperideae,Hesperis,persica,Hesperis persica,,,III,,,,,,,,,,,,,,
S1126,Hesperideae,Hesperis,persica,Hesperis persica,III,III,III,TUH,,,,Atena Eslami,TUH35351,38507,2005,"Sh. Zarre, H. Moazzeni, R.H. Fritsch",H. Moazzeni,Iran,"Province E. Azerbaijan Asalem to Khalkhal, 5km to Khalkhal, mountain above Aznav spring",,
S1126-2,Hesperideae,Hesperis,persica,Hesperis persica,III,III,III,TUH,,,,Atena Eslami,TUH35351,38507,2005,"Sh. Zarre, H. Moazzeni, R.H. Fritsch",H. Moazzeni,Iran,"Province E. Azerbaijan Asalem to Khalkhal, 5km to Khalkhal, mountain above Aznav spring",,
S1341,Iberideae II,Teesdalia,coronopifolia,Teesdalia coronopifolia,II,exp.II,,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1844030,26035,1971,E. Berger,,France,"Le Cannet des Maures (Var), a cote de la N 558 pres de la riviere St-Daumas",https://www.gbif.org/occurrence/2514109696,
S1341-2,Iberideae II,Teesdalia,coronopifolia,Teesdalia coronopifolia,II,exp.II,,RMNH,,,L,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",L.1844030,26035,1971,E. Berger,,France,"Le Cannet des Maures (Var), a cote de la N 558 pres de la riviere St-Daumas",https://www.gbif.org/occurrence/2514109696,
S1380,Subularieae,Subularia,monticola,Subularia monticola,,,V,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1415234,24082,1965,"W.J.J.O. de Wilde, B.E.E. de Wilde-Duyfjes",G.J.H. Amshoff,Ethiopia,"Mt. Boruluccu, beside the road to ticcio; c. 30 km S.E. of Asella",https://www.gbif.org/occurrence/2517803348,
S1380-2,Subularieae,Subularia,monticola,Subularia monticola,,,V,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1415234,24082,1965,"W.J.J.O. de Wilde, B.E.E. de Wilde-Duyfjes",G.J.H. Amshoff,Ethiopia,"Mt. Boruluccu, beside the road to ticcio; c. 30 km S.E. of Asella",https://www.gbif.org/occurrence/2517803348,
S1127,Thelypodieae,Englerocharis,ancashensis,Englerocharis ancashensis,II,II,II,BSB,,,,Klaus Mummenhoff,"Weigent , et al. 8824",39364,2007,"M. Weigent, H.H. Hilger, A.A. Cano-E.",,Peru,"Department Ancash, province Bolognesi, road from Huallanca to San Marcos via Lago Canrash, north of Lago Canrash",,
S1127-2,Thelypodieae,Englerocharis,ancashensis,Englerocharis ancashensis,II,II,II,BSB,,,,Klaus Mummenhoff,"Weigent , et al. 8824",39364,2007,"M. Weigent, H.H. Hilger, A.A. Cano-E.",,Peru,"Department Ancash, province Bolognesi, road from Huallanca to San Marcos via Lago Canrash, north of Lago Canrash",,
S1125,Thelypodieae,Weberbauera,spathulifolia,Weberbauera spathulifolia,II,II,II,BSB,,,,Klaus Mummenhoff,"Weigend , et al. 8853",39364,2007,"M. Weigend, H.H. Hilger, A.A. Cano-E.",,Peru,"Department Ancash, province Bologneso, road from Huallanca to San Marcos via Lago Canrash, north of Lago Canrash",,
S1083,Arabideae,Arabis,kennedyae,Arabis kennedyae,II,exp.II,IV,HEID,,,,"Marcus Koch, Peter Sack",924602,41029,2012,K. Konstantinou,,Cyprus,Tripilos,,
S1498,Arabideae,Arabis,montbretiana,Arabis montbretiana,II,exp.II,IV,RMNH,,,WAG,"Kasper P. Hendriks, Roxali Bijmoer, Marnel Scherrenberg, Jan J. Wieringa",WAG.1240684,14/03/1842,1842,K.G.T. Kotschy,F.M. Muller,Iran,Pl. Pers. austr. In rupestribus prope pagum Gere abuschir et Schiras,https://www.gbif.org/occurrence/2515877235,
LN877383,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,,,I,,,,,,,,,,,,,,
S1082,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,I,I,I,HEID,,,,"Marcus Koch, Peter Sack",502625,unknown,,,,,,,
SRR11470311,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,I,I,I,,,,,,,,,,,,,,
SRR11470312,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,I,I,I,,,,,,,,,,,,,,
SRR11470318,Arabidopsideae trib. nov.,Arabidopsis,lyrata,Arabidopsis lyrata,I,I,I,,,,,,,,,,,,,,
S1077,Biscutelleae,Ricotia,aucheri,Ricotia aucheri,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3559,41803,2014,"B. Özüdo_ru, E. Çilden",,Turkey,"Malatya: 11 km from Erkenek to Gölba_ı, eroded sides, screes, 1040 m, Latitude: 37.910652 N, Longitude 37.840011 E",,
S1076,Biscutelleae,Ricotia,carnosula,Ricotia carnosula,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 2852,40661,2011,B. Özüdo_ru,,Turkey,"Antalya: Beldibi, opposite of Grand Ring Hotel, under Pinus brutia, 18 m, Latitude: 36.690556 N, Longitude 30.571111 E",,
S1076-2,Biscutelleae,Ricotia,carnosula,Ricotia carnosula,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 2852,40661,2011,B. Özüdo_ru,,Turkey,"Antalya: Beldibi, opposite of Grand Ring Hotel, under Pinus brutia, 18 m, Latitude: 36.690556 N, Longitude 30.571111 E",,
S1075,Biscutelleae,Ricotia,cretica,Ricotia cretica,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3439a,41419,2013,B. Özüdo_ru,,Greece,"Crete, around Impros, screes, 750 m, Latitude: 35.242861 N, Longitude 24.162797 E",,
S1075-2,Biscutelleae,Ricotia,cretica,Ricotia cretica,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3439a,41419,2013,B. Özüdo_ru,,Greece,"Crete, around Impros, screes, 750 m, Latitude: 35.242861 N, Longitude 24.162797 E",,
SRR8528399,Biscutelleae,Ricotia,cretica,Ricotia cretica,II,exp.II,,,,,,,,,,,,,,,
S1074,Biscutelleae,Ricotia,sinuata,Ricotia sinuata,II,exp.II,,HUB,,,,Barı_ Özüdo_ru,Özüdo_ru 3501,41782,2014,"B. Özüdo_ru, E. Çilden",,Turkey,"Antalya: Gündo_mu_, around Nara_acı Village, mobile screes, 460-490 m, Latitude 36.782756 N, Longitude 32.103364 E",,
S1188,Dontostemoneae,Clausia,aprica - eastern group,Clausia aprica - eastern group,III,III,III,OSBU,,,,Barbara Neuffer,12362,37061,2001,unknown,,Mongolia,"Tuv, Batsumber",https://www.ncbi.nlm.nih.gov/nuccore/AY546123,
S1187,Dontostemoneae,Clausia,aprica - western group,Clausia aprica - western group,III,III,III,OSBU,,,,Barbara Neuffer,01-0076-50-00,25035,1968,unknown,,Kazakhstan,Kasach Spiridonovka,https://www.ncbi.nlm.nih.gov/nuccore/AY546116,
S1187sl,Dontostemoneae,Clausia,aprica - western group,Clausia aprica - western group,III,III,III,OSBU,,,,Barbara Neuffer,01-0076-50-00,25035,1968,unknown,,Kazakhstan,Kasach Spiridonovka,https://www.ncbi.nlm.nih.gov/nuccore/AY546116,
S1465,Dontostemoneae,Clausia,aprica - western group,Clausia aprica - western group,III,III,III,OSBU,,,,Barbara Neuffer,01-0076-50-00,25035,1968,unknown,,Kazakhstan,Kasach Spiridonovka,https://www.ncbi.nlm.nih.gov/nuccore/AY546116,
NC_009273,Lepidieae,Lepidium,virginicum,Lepidium virginicum,,,I,,,,,,,,,,,,,,
