8000070	8000070
8008999	8008999
8009952	8009952
CRNC	CRNC
ERR2789774	ERR2789774
ERR4210213	ERR4210213
HYZL	HYZL
MYZV	MYZV
PAFTOL_005410	PAFTOL_005410
PAFTOL_005410.0	PAFTOL_005410
PAFTOL_005410.1	PAFTOL_005410
PAFTOL_005410.main	PAFTOL_005410
PAFTOL_005411	PAFTOL_005411
PAFTOL_008053	PAFTOL_008053
PAFTOL_008053.0	PAFTOL_008053
PAFTOL_008053.main	PAFTOL_008053
PAFTOL_014331	PAFTOL_014331
PAFTOL_014331.0	PAFTOL_014331
PAFTOL_014331.1	PAFTOL_014331
PAFTOL_014331.main	PAFTOL_014331
PAFTOL_019361	PAFTOL_019361
PAFTOL_019361.0	PAFTOL_019361
PAFTOL_019361.1	PAFTOL_019361
PAFTOL_019361.main	PAFTOL_019361
PAFTOL_019459	PAFTOL_019459
PAFTOL_019459.0	PAFTOL_019459
PAFTOL_019459.main	PAFTOL_019459
PAFTOL_023477	PAFTOL_023477
PAFTOL_023503	PAFTOL_023503
PAFTOL_023503.1	PAFTOL_023503
PAFTOL_023503.main	PAFTOL_023503
PAFTOL_023511	PAFTOL_023511
PAFTOL_023511.0	PAFTOL_023511
PAFTOL_023511.main	PAFTOL_023511
PAFTOL_023513	PAFTOL_023513
PAFTOL_023513.0	PAFTOL_023513
PAFTOL_023513.1	PAFTOL_023513
PAFTOL_023513.main	PAFTOL_023513
PAFTOL_023515	PAFTOL_023515
PAFTOL_023515.0	PAFTOL_023515
PAFTOL_023515.1	PAFTOL_023515
PAFTOL_023515.main	PAFTOL_023515
PAFTOL_023519	PAFTOL_023519
PAFTOL_023519.0	PAFTOL_023519
PAFTOL_023519.1	PAFTOL_023519
PAFTOL_023519.3	PAFTOL_023519
PAFTOL_023519.main	PAFTOL_023519
S0055	S0055
S0055.0	S0055
S0055.1	S0055
S0055.2	S0055
S0055.main	S0055
S0156	S0156
S0156.0	S0156
S0156.1	S0156
S0156.2	S0156
S0156.3	S0156
S0156.main	S0156
S0196sl	S0196sl
S0196sl.0	S0196sl
S0196sl.1	S0196sl
S0196sl.main	S0196sl
S0268	S0268
S0268.0	S0268
S0268.1	S0268
S0268.2	S0268
S0268.main	S0268
S0275	S0275
S0275.0	S0275
S0275.1	S0275
S0275.2	S0275
S0275.3	S0275
S0275.4	S0275
S0275.5	S0275
S0275.main	S0275
S0277	S0277
S0277.0	S0277
S0277.1	S0277
S0277.2	S0277
S0277.3	S0277
S0277.4	S0277
S0277.main	S0277
S0278	S0278
S0278.0	S0278
S0278.1	S0278
S0278.2	S0278
S0278.main	S0278
S0279	S0279
S0279.0	S0279
S0279.1	S0279
S0279.2	S0279
S0279.3	S0279
S0279.4	S0279
S0279.5	S0279
S0279.6	S0279
S0279.main	S0279
S0280	S0280
S0280.0	S0280
S0280.1	S0280
S0280.main	S0280
S0281	S0281
S0281.0	S0281
S0281.1	S0281
S0281.2	S0281
S0281.main	S0281
S0282	S0282
S0282.0	S0282
S0282.1	S0282
S0282.2	S0282
S0282.3	S0282
S0282.main	S0282
S0283	S0283
S0283.0	S0283
S0283.1	S0283
S0283.main	S0283
S0284	S0284
S0284.0	S0284
S0284.1	S0284
S0284.2	S0284
S0284.main	S0284
S0285	S0285
S0285.0	S0285
S0285.1	S0285
S0285.2	S0285
S0285.main	S0285
S0286	S0286
S0286.0	S0286
S0286.1	S0286
S0286.2	S0286
S0286.main	S0286
S0288	S0288
S0288.0	S0288
S0288.1	S0288
S0288.main	S0288
S0289	S0289
S0289.0	S0289
S0289.1	S0289
S0289.main	S0289
S0292	S0292
S0292.0	S0292
S0292.1	S0292
S0292.2	S0292
S0292.3	S0292
S0292.main	S0292
S0293	S0293
S0293.0	S0293
S0293.1	S0293
S0293.main	S0293
S0294	S0294
S0294.0	S0294
S0294.1	S0294
S0294.2	S0294
S0294.main	S0294
S0297	S0297
S0297.0	S0297
S0297.1	S0297
S0297.2	S0297
S0297.main	S0297
S0298	S0298
S0298.0	S0298
S0298.1	S0298
S0298.2	S0298
S0298.3	S0298
S0298.4	S0298
S0298.5	S0298
S0298.main	S0298
S0299	S0299
S0299.0	S0299
S0299.1	S0299
S0299.main	S0299
S0300	S0300
S0300.0	S0300
S0300.1	S0300
S0300.2	S0300
S0300.3	S0300
S0300.4	S0300
S0300.5	S0300
S0300.6	S0300
S0300.7	S0300
S0300.main	S0300
S0301	S0301
S0301.0	S0301
S0301.1	S0301
S0301.2	S0301
S0301.3	S0301
S0301.main	S0301
S0303	S0303
S0303.0	S0303
S0303.1	S0303
S0303.main	S0303
S0305	S0305
S0305.0	S0305
S0305.1	S0305
S0305.2	S0305
S0305.3	S0305
S0305.main	S0305
S0306	S0306
S0306.0	S0306
S0306.1	S0306
S0306.3	S0306
S0306.main	S0306
S0308	S0308
S0308.0	S0308
S0308.1	S0308
S0308.2	S0308
S0308.3	S0308
S0308.4	S0308
S0308.main	S0308
S0312	S0312
S0312.0	S0312
S0312.1	S0312
S0312.2	S0312
S0312.3	S0312
S0312.main	S0312
S0315	S0315
