Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: none
None!
Paralogs removed for each sample:
Sample	threshold	#removed	names
8000070 	0.0221	1	
8008999 	0.01603	7	5318, 6148, 6114, 6405, 5703, 5406, 3G53180
8009952 	0.01177	3	6320, 3G19553, 3G57300
PAFTOL_005410 	0.09224	7	5064, 6498, 5326, 4527, 5594, 6544, 5721
PAFTOL_005411 	0.00878	1	
PAFTOL_008053 	0.01078	15	6384, 7136, 6492, 5460, 7583, 6533, 5858, 6977, 6320, 4806, 5940, 5355, 6454, 5G35460, 5G63840
PAFTOL_014331 	0.12545	3	5090, 6488, 4G05090
PAFTOL_019361 	0.01237	39	6016, 5670, 5348, 5434, 5326, 4954, 6298, 4802, 5802, 5357, 5821, 6494, 5842, 6139, 5634, 6041, 6685, 6733, 6947, 5551, 5296, 2G26180, 2G35610, 2G41700, 3G11460, 4G14940, 4G18060, 4G18830, 4G22720, 4G28220, 4G38010, 5G04710, 5G08310, 5G20270, 5G25230, 5G44370, 5G46070, 5G48800, 5G62310
PAFTOL_019459 	0.0116	26	5404, 6738, 5664, 6148, 5477, 6500, 6258, 6494, 5703, 5980, 5950, 6538, 6284, 5919, 4951, 5116, 6507, 1G15980, 1G65380, 3G16910, 3G19990, 3G21420, 5G02480, 5G18830, 5G50320, 5G65950
PAFTOL_023477 	0.01556	6	5614, 5206, 6955, 6128, 6226, 5858
PAFTOL_023503 	0.05341	3	6128, 1G51720, 1G75200
PAFTOL_023511 	0.02091	32	5348, 5206, 5913, 7111, 6652, 5434, 4724, 6404, 5899, 6128, 6649, 5744, 4989, 4806, 4793, 5893, 6379, 6454, 1G02970, 1G06270, 1G72280, 3G29320, 3G56120, 3G56940, 4G30790, 4G33760, 5G08530, 5G15710, 5G20890, 5G49890, 5G53480, 5G64270
PAFTOL_023513 	0.12897	1	
PAFTOL_023515 	0.02475	37	6016, 6498, 6528, 5945, 6860, 5841, 5950, 6036, 4793, 6038, 4951, 4848, 1G30000, 1G30440, 2G13370, 2G25800, 2G26800, 2G37230, 2G39450, 2G42490, 3G06860, 3G16270, 3G20050, 3G22170, 4G08150, 4G24740, 4G30600, 5G02480, 5G04930, 5G14230, 5G19350, 5G39500, 5G46070, 5G50320, 5G53480, 5G56220, 5G58410
PAFTOL_023519 	0.03667	48	6016, 6946, 7371, 6412, 6498, 5138, 5090, 5562, 5945, 5821, 6533, 6051, 5032, 6036, 7029, 6401, 5271, 5469, 5554, 4951, 5926, 6295, 1G72280, 2G13370, 2G13610, 2G20190, 2G26200, 2G33770, 2G35610, 2G39450, 3G07140, 3G10030, 3G15380, 3G20260, 3G54690, 4G00910, 4G05090, 4G08150, 4G24830, 4G30790, 4G31540, 5G02480, 5G04930, 5G12290, 5G20890, 5G47690, 5G53480, 5G62310
S_670 	0.02847	76	4757, 4889, 6738, 5318, 5206, 6048, 6034, 7111, 5942, 5463, 5434, 5357, 5899, 6003, 5821, 5842, 7325, 5841, 5430, 6198, 7024, 6565, 5328, 5744, 6320, 5188, 6447, 7628, 6791, 6430, 5354, 5944, 6457, 4951, 5464, 5296, 1G02400, 1G16770, 1G33410, 1G50200, 1G55480, 1G61600, 1G76730, 1G80360, 2G21610, 2G30520, 2G35720, 2G38510, 2G39620, 2G40760, 2G43770, 3G01060, 3G04480, 3G11460, 3G14470, 3G19990, 3G25430, 3G53180, 3G54860, 3G55580, 3G56120, 4G24190, 4G24620, 4G24830, 5G08415, 5G19690, 5G20350, 5G26820, 5G36890, 5G39500, 5G40820, 5G44000, 5G49430, 5G52280, 5G56580, 5G64370
S0055 	0.02944	65	4757, 6620, 5404, 5318, 5348, 7174, 4691, 5960, 5463, 5434, 6859, 5477, 6366, 5899, 6003, 6955, 5421, 5842, 6531, 5841, 6198, 5936, 5744, 4890, 4989, 6570, 5843, 6430, 4793, 6636, 5469, 6792, 5464, 5926, 6507, 6782, 6540, 5721, 1G05960, 1G16570, 1G19025, 1G58120, 1G59980, 1G60995, 1G61850, 1G63660, 2G18760, 2G39620, 2G43770, 3G48110, 3G53180, 3G54690, 3G55160, 4G16570, 5G02270, 5G20350, 5G26570, 5G27970, 5G49030, 5G50320, 5G51540, 5G53580, 5G54570, 5G58750, 5G63010
S0156 	0.13358	5	6979, 5894, 5859, 5G14450, 5G58940
