"","sample","bp","bp_Nikolov2019","bp_Angiosperms353","bpoftarget","bpoftarget_Nikolov2019","bpoftarget_Angiosperms353","paralogs_all","paralogs_all_Nikolov2019","paralogs_all_Angiosperms353","paralogs_each","paralogs_each_Nikolov2019","paralogs_each_Angiosperms353","nloci","nloci_Nikolov2019","nloci_Angiosperms353","allele_divergence","allele_divergence_Nikolov2019","allele_divergence_Angiosperms353","allele_divergence_relative","locus_heterozygosity","locus_heterozygosity_Nikolov2019","locus_heterozygosity_Angiosperms353","locus_heterozygosity_relative","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","loci with >5% SNPs","loci with >10% SNPs"
"1","8000070",37821,25497,12324,3.2,2.9,4.2,0,0,0,1,0,0,145,90,55,0.145,0.137,0.162,0.845679012345679,14.48,16.67,10.91,1.52795600366636,5.52,4.14,1.38,0,0
"2","8008999",40347,25998,14349,3.4,2.9,4.9,0,0,0,7,1,6,162,97,65,0.129,0.131,0.125,1.048,22.22,22.68,21.54,1.05292479108635,10.49,1.23,0,0,0
"3","8009952",81036,57996,23040,6.9,6.5,7.9,0,0,0,3,2,1,283,177,106,0.09,0.078,0.122,0.639344262295082,14.49,15.25,13.21,1.15442846328539,5.65,0.71,0,0,0
"4","PAFTOL_005410",137220,17145,120075,11.6,1.9,41.1,0,0,0,7,0,7,243,33,210,0.62,0.618,0.62,0.996774193548387,30.04,30.3,30,1.01,17.28,12.35,8.64,4.94,0
"5","PAFTOL_005411",30015,3732,26283,2.5,0.4,9,0,0,0,1,0,0,99,12,87,0.09,0.054,0.095,0.568421052631579,17.17,16.67,17.24,0.966937354988399,5.05,1.01,1.01,0,0
"6","PAFTOL_008053",188535,21945,166590,16,2.5,57.1,0,0,0,15,2,13,315,47,268,0.228,0.196,0.232,0.844827586206897,57.14,46.81,58.96,0.793928086838535,13.97,2.22,0,0,0
"7","PAFTOL_014331",158751,17538,141213,13.4,2,48.4,0,0,0,3,1,2,356,47,309,3.556,3.906,3.512,1.1121867881549,78.65,85.11,77.67,1.09578988026265,70.51,66.57,58.99,28.93,1.4
"8","PAFTOL_019361",720399,497535,222864,61,56,76.3,0,0,0,39,18,21,808,502,306,0.161,0.141,0.208,0.677884615384616,47.15,41.24,56.86,0.725290186422793,11.01,1.24,0,0,0
"9","PAFTOL_019459",347163,145887,201276,29.4,16.4,68.9,0,0,0,26,9,17,501,195,306,0.101,0.047,0.14,0.335714285714286,34.33,18.97,44.12,0.429963735267452,5.79,0.6,0,0,0
"10","PAFTOL_023477",101721,22503,79218,8.6,2.5,27.1,0,0,0,6,0,6,302,75,227,0.141,0.142,0.14,1.01428571428571,24.5,26.67,23.79,1.12105926860025,8.61,2.32,0,0,0
