"","sample","bp","bp_Nikolov2019","bp_Angiosperms353","bpoftarget","bpoftarget_Nikolov2019","bpoftarget_Angiosperms353","paralogs_all","paralogs_all_Nikolov2019","paralogs_all_Angiosperms353","paralogs_each","paralogs_each_Nikolov2019","paralogs_each_Angiosperms353","nloci","nloci_Nikolov2019","nloci_Angiosperms353","allele_divergence","allele_divergence_Nikolov2019","allele_divergence_Angiosperms353","allele_divergence_relative","locus_heterozygosity","locus_heterozygosity_Nikolov2019","locus_heterozygosity_Angiosperms353","locus_heterozygosity_relative","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","loci with >5% SNPs","loci with >10% SNPs"
"1","PAFTOL_019361",712461,494700,217761,61,56,76.7,19,7,12,37,17,20,793,497,296,0.162,0.141,0.209,0.674641148325359,47.54,41.45,57.77,0.717500432750563,11.1,1.26,0,0,0
"2","S_670",1116942,852993,263949,95.7,96.6,93,19,7,12,69,39,30,988,682,306,0.65,0.638,0.686,0.930029154518951,83.91,82.99,85.95,0.965561372891216,49.9,26.21,4.45,0,0
"3","S0055",1118556,853230,265326,95.8,96.6,93.5,19,7,12,59,29,30,983,681,302,0.2,0.171,0.292,0.585616438356164,44.25,38.91,56.29,0.691241783620537,14.34,7.43,1.93,0,0
"4","S0156",851703,640584,211119,73,72.5,74.4,19,7,12,6,2,4,747,479,268,1.143,1.188,1.007,1.17974180734856,47.79,44.89,52.99,0.847140969994339,27.71,23.96,19.68,12.32,2.68
"5","S0196sl",751692,563556,188136,64.4,63.8,66.3,19,7,12,50,26,24,872,584,288,0.132,0.125,0.154,0.811688311688312,36.93,37.16,36.46,1.01919912232584,6.65,1.03,0,0,0
"6","S0268",1103583,844911,258672,94.6,95.7,91.1,19,7,12,68,35,33,947,651,296,0.652,0.648,0.665,0.974436090225564,91.55,91.24,92.23,0.98926596552098,56.07,20.7,1.58,0,0
"7","S0275",1065657,813792,251865,91.3,92.1,88.7,19,7,12,37,30,7,965,647,318,3.577,3.589,3.538,1.0144149236857,96.68,96.29,97.48,0.987792367665162,87.36,77.1,61.55,29.33,9.22
"8","S0277",914862,712239,202623,78.4,80.6,71.4,19,7,12,43,35,8,918,611,307,3.988,4.024,3.862,1.04194717762817,94.77,95.74,92.83,1.03134762469029,90.09,86.27,77.78,32.24,3.81
"9","S0278",898869,679779,219090,77,77,77.2,19,7,12,19,10,9,825,539,286,0.285,0.198,0.556,0.356115107913669,27.27,20.96,39.16,0.535240040858018,14.91,11.52,6.3,1.82,0
"10","S0279",1018818,763380,255438,87.3,86.4,90,19,7,12,17,14,3,1006,677,329,5.504,5.6,5.216,1.07361963190184,95.83,95.13,97.26,0.978099938309685,94.53,93.04,90.56,59.64,1.79
"11","S0280",1082388,830097,252291,92.7,94,88.9,19,7,12,43,25,18,945,641,304,0.819,0.769,0.983,0.782299084435402,86.88,85.49,89.8,0.952004454342984,60.21,36.51,10.79,0,0
"12","S0281",1074510,821187,253323,92.1,93,89.2,19,7,12,59,35,24,934,630,304,0.887,0.885,0.895,0.988826815642458,70.99,71.43,70.07,1.01940916226631,53,37.79,15.1,0,0
"13","S0282",1120689,855849,264840,96,96.9,93.3,19,7,12,66,34,32,975,675,300,0.116,0.102,0.16,0.6375,36.1,30.37,49,0.619795918367347,7.28,2.46,0,0,0
"14","S0283",979653,771906,207747,83.9,87.4,73.2,19,7,12,35,17,18,942,642,300,1.923,1.908,1.978,0.964610717896865,96.6,97.35,95,1.02473684210526,93.52,81.95,45.44,0,0
"15","S0284",734205,535305,198900,62.9,60.6,70.1,19,7,12,72,52,20,672,409,263,0.971,0.963,0.992,0.970766129032258,67.71,66.01,70.34,0.938441853852715,51.93,40.62,17.26,1.49,0
"16","S0285",956448,729987,226461,82,82.6,79.8,19,7,12,1,0,0,874,575,299,3.325,3.273,3.492,0.937285223367698,79.98,79.83,80.27,0.99451850006229,66.59,60.18,53.2,34.9,3.66
"17","S0286",972099,746943,225156,83.3,84.6,79.3,19,7,12,16,10,6,923,619,304,4.804,4.925,4.402,1.11880963198546,95.67,95.48,96.05,0.994065590838105,93.72,92.09,87.54,42.47,0.98
"18","S0288",715254,692052,23202,61.3,78.4,8.2,19,7,12,40,37,3,589,556,33,1.014,1.01,1.155,0.874458874458874,80.81,81.83,63.64,1.28582652419862,54.33,35.82,19.69,1.19,0
"19","S0289",1067796,807120,260676,91.5,91.4,91.8,19,7,12,32,18,14,980,667,313,0.718,0.683,0.825,0.827878787878788,69.9,68.37,73.16,0.934527063969382,43.06,29.59,12.76,0,0
"20","S0292",1104816,845817,258999,94.7,95.8,91.2,19,7,12,92,46,46,929,645,284,0.499,0.502,0.489,1.02658486707566,83.85,84.03,83.45,1.00695026962253,40.58,15.07,0.43,0,0
"21","S0293",905238,689685,215553,77.6,78.1,75.9,19,7,12,93,56,37,904,615,289,0.425,0.416,0.453,0.918322295805739,77.43,76.1,80.28,0.947932237169905,34.4,10.18,0,0,0
"22","S0294",1076700,816297,260403,92.3,92.4,91.7,19,7,12,96,77,19,867,564,303,1.249,1.219,1.342,0.908345752608048,83.28,83.69,82.51,1.01430129681251,57.79,39.79,21.91,12,0
"23","S0297",862998,664101,198897,73.9,75.2,70.1,19,7,12,2,2,0,788,520,268,3.143,3.242,2.816,1.15127840909091,89.72,91.73,85.82,1.06886506641808,76.52,63.45,48.1,29.06,4.06
"24","S0298",1047051,793968,253083,89.7,89.9,89.2,19,7,12,9,8,1,1021,689,332,5.456,5.565,5.113,1.08840211226286,98.92,99.27,98.19,1.01099908340972,96.96,95.59,92.36,58.37,2.64
"25","S0299",910080,689886,220194,78,78.1,77.6,19,7,12,80,49,31,907,617,290,0.323,0.32,0.332,0.963855421686747,60.53,60.62,60.34,1.0046403712297,19.07,8.27,0.44,0,0
"26","S0300",1053711,819750,233961,90.3,92.8,82.4,19,7,12,38,34,4,922,637,285,3.42,3.471,3.243,1.07030527289547,97.83,98.43,96.49,1.02010571043631,91.87,79.93,56.72,26.36,10.52
"27","S0301",1094607,855015,239592,93.8,96.8,84.4,19,7,12,67,44,23,980,675,305,0.535,0.538,0.527,1.02087286527514,86.63,86.67,86.56,1.0012707948244,44.69,14.18,0,0,0
