"","No. loci","Prop. of loci","Prop. of target length"
"8000070",145,0.134,0.032
"8008999",169,0.156,0.034
"8009952",286,0.265,0.069
"PAFTOL_005410",251,0.232,0.116
"PAFTOL_005411",99,0.092,0.025
"PAFTOL_008053",332,0.307,0.16
"PAFTOL_014331",362,0.335,0.135
"PAFTOL_019361",850,0.786,0.61
"PAFTOL_019459",531,0.491,0.295
"PAFTOL_023477",311,0.288,0.086
"PAFTOL_023503",153,0.142,0.029
"PAFTOL_023511",392,0.363,0.168
"PAFTOL_023513",565,0.523,0.251
"PAFTOL_023515",588,0.544,0.321
"PAFTOL_023519",578,0.535,0.318
"S_670",1077,0.996,0.954
"S0055",1061,0.981,0.955
"S0156",766,0.709,0.727
"S0196sl",940,0.87,0.643
"S0268",1034,0.957,0.943
"S0275",1021,0.944,0.911
"S0277",980,0.907,0.781
"S0278",858,0.794,0.766
"S0279",1042,0.964,0.871
"S0280",1008,0.932,0.925
"S0281",1010,0.934,0.918
"S0282",1059,0.98,0.957
"S0283",995,0.92,0.836
"S0284",759,0.702,0.628
"S0285",890,0.823,0.817
"S0286",953,0.882,0.829
"S0288",635,0.587,0.608
"S0289",1030,0.953,0.912
"S0292",1040,0.962,0.943
"S0293",1016,0.94,0.773
"S0294",982,0.908,0.92
"S0297",805,0.745,0.737
"S0298",1049,0.97,0.895
"S0299",1004,0.929,0.776
"S0300",973,0.9,0.899
"S0301",1066,0.986,0.934
"S0303",825,0.763,0.742
"S0305",787,0.728,0.704
"S0306",503,0.465,0.575
"S0308",1008,0.932,0.912
"S0312",1066,0.986,0.9
"S0315",1048,0.969,0.9
"S0316sl",602,0.557,0.192
"S0317",1024,0.947,0.89
"S0320",895,0.828,0.752
"S0322",883,0.817,0.777
"S0323",995,0.92,0.874
"S0326-2",254,0.235,0.061
"S0327",894,0.827,0.815
"S0329",966,0.894,0.888
"S0331",713,0.66,0.656
"S0335",989,0.915,0.924
"S0345",738,0.683,0.51
"S0346",1034,0.957,0.87
"S0355",577,0.534,0.654
"S0371",652,0.603,0.68
"S0373",1014,0.938,0.905
"S0376",994,0.92,0.791
"S0377",1019,0.943,0.853
"S0380",1017,0.941,0.885
"S0381",938,0.868,0.729
"S0383",895,0.828,0.828
"S0384",883,0.817,0.855
"S0385",1020,0.944,0.86
"S0400",1025,0.948,0.91
"S0403sl",969,0.896,0.726
"S0405",1045,0.967,0.951
"S0407sl",816,0.755,0.67
"S0412sl",1042,0.964,0.852
"S0416",1042,0.964,0.937
"S0417",977,0.904,0.888
"S0419",940,0.87,0.878
"S0420sl",959,0.887,0.732
"S0421",1014,0.938,0.888
"S0424",691,0.639,0.7
"S0427",1057,0.978,0.956
"S0428sl",653,0.604,0.49
"S0430",886,0.82,0.804
"S0435",1037,0.959,0.854
"S0436",993,0.919,0.873
"S0450",1030,0.953,0.924
"S0464",988,0.914,0.879
"S0478",850,0.786,0.8
"S0509",1044,0.966,0.92
"S0512sl",729,0.674,0.502
"S0521",1009,0.933,0.88
"S0547",1000,0.925,0.866
"S0552sl",1050,0.971,0.941
"S0555",975,0.902,0.862
"S0558",1066,0.986,0.956
"S0560",835,0.772,0.791
"S0562",1053,0.974,0.878
"S0564sl",558,0.516,0.36
"S0577",860,0.796,0.628
"S0583",968,0.895,0.854
"S0590",762,0.705,0.674
"S0591",966,0.894,0.908
"S0593",1031,0.954,0.825
"S0612",1040,0.962,0.912
"S0613sl",1021,0.944,0.906
"S0616",907,0.839,0.838
"S0617",807,0.747,0.696
"S0620",547,0.506,0.47
"S0624",929,0.859,0.823
"S0629-2",226,0.209,0.053
"S0641",1062,0.982,0.96
"S0642",960,0.888,0.88
"S0643",1015,0.939,0.851
"S0645sl",1035,0.957,0.905
"S0647-2",1060,0.981,0.893
"S0654",866,0.801,0.778
"S0655sl",1026,0.949,0.854
"S0656sl",899,0.832,0.801
"S0657",892,0.825,0.809
"S0660sl",824,0.762,0.502
"S0662",976,0.903,0.874
"S0664",1010,0.934,0.898
"S0667",878,0.812,0.789
"S0669",1015,0.939,0.903
"S0670",1065,0.985,0.925
"S0671",1040,0.962,0.899
"S0672",1002,0.927,0.927
"S0673",918,0.849,0.855
"S0677",946,0.875,0.866
"S0688",903,0.835,0.842
"S0689",995,0.92,0.917
"S0690",997,0.922,0.771
"S0691",1043,0.965,0.917
"S0717",970,0.897,0.883
"S0718",1066,0.986,0.91
"S0720",1013,0.937,0.932
"S0721sl",1031,0.954,0.937
"S0722",1022,0.945,0.892
"S0724sl",976,0.903,0.863
"S0726",917,0.848,0.816
"S0727",926,0.857,0.849
"S0728sl",963,0.891,0.654
"S0731sl",990,0.916,0.898
"S0732",1043,0.965,0.911
"S0733sl",988,0.914,0.745
"S0734sl",435,0.402,0.173
"S0735",1008,0.932,0.871
"S0738sl",555,0.513,0.224
"S0739",1040,0.962,0.928
"S0740",1015,0.939,0.909
"S0741",1022,0.945,0.908
"S0742",1045,0.967,0.938
"S0743",982,0.908,0.878
"S0744sl",638,0.59,0.311
"S0745",1062,0.982,0.945
"S0746",1012,0.936,0.919
"S0747sl",1047,0.969,0.927
"S0748",995,0.92,0.914
"S0751",981,0.907,0.867
"S0752",1019,0.943,0.896
"S0753",649,0.6,0.59
"S0754",1016,0.94,0.875
"S0756",1063,0.983,0.958
"S0757",1043,0.965,0.878
"S0758",741,0.685,0.69
"S0759",153,0.142,0.035
"S0760",1026,0.949,0.941
"S0761sl",419,0.388,0.207
"S0762-2",1068,0.988,0.919
"S0763",1036,0.958,0.952
"S0764",1052,0.973,0.936
"S0765",841,0.778,0.826
"S0766",980,0.907,0.887
"S0768",875,0.809,0.806
"S0770",992,0.918,0.925
"S0771",959,0.887,0.909
"S0772",993,0.919,0.875
"S0791",672,0.622,0.697
"S0795",970,0.897,0.908
"S0809",1068,0.988,0.901
"S0827",871,0.806,0.814
"S0834",974,0.901,0.729
"S0836",982,0.908,0.839
"S0851",1023,0.946,0.863
"S0888",1028,0.951,0.928
"S0890",750,0.694,0.518
"S0892",937,0.867,0.82
"S0893",718,0.664,0.633
"S0894",913,0.845,0.807
"S0895",1019,0.943,0.893
"S0896",961,0.889,0.834
"S0897",843,0.78,0.678
"S0899",909,0.841,0.841
"S0901",1001,0.926,0.886
"S0902",878,0.812,0.682
"S0903",1036,0.958,0.931
"S0904",700,0.648,0.639
"S0906",988,0.914,0.912
"S0941",934,0.864,0.803
"S0946",949,0.878,0.871
"S0947sl",1049,0.97,0.871
"S0949",1038,0.96,0.925
"S0951",569,0.526,0.438
"S0952",897,0.83,0.837
"S0954",1011,0.935,0.883
"S0956",885,0.819,0.83
"S0957",896,0.829,0.818
"S0959",1000,0.925,0.895
"S0960",1031,0.954,0.901
"S0963",846,0.783,0.752
"S0964",890,0.823,0.826
"S0989",709,0.656,0.547
"S1011sl",688,0.636,0.536
"S1021",1046,0.968,0.903
"S1038",985,0.911,0.81
"S1039",1028,0.951,0.867
"S1040",1009,0.933,0.854
"S1043sl",913,0.845,0.803
"S1044",1036,0.958,0.887
"S1045",1056,0.977,0.938
"S1049sl",8,0.007,0.002
"S1050",1023,0.946,0.838
"S1052sl",995,0.92,0.692
"S1053sl",931,0.861,0.75
"S1069",1037,0.959,0.916
"S1072",1041,0.963,0.879
"S1074",1037,0.959,0.921
"S1077",982,0.908,0.875
"S1083",1057,0.978,0.947
"S1089",974,0.901,0.86
"S1093sl",1054,0.975,0.913
