"","sample","bp","bp_Nikolov2019","bp_Angiosperms353","bpoftarget","bpoftarget_Nikolov2019","bpoftarget_Angiosperms353","paralogs_all","paralogs_all_Nikolov2019","paralogs_all_Angiosperms353","paralogs_each","paralogs_each_Nikolov2019","paralogs_each_Angiosperms353","nloci","nloci_Nikolov2019","nloci_Angiosperms353","allele_divergence","allele_divergence_Nikolov2019","allele_divergence_Angiosperms353","allele_divergence_relative","locus_heterozygosity","locus_heterozygosity_Nikolov2019","locus_heterozygosity_Angiosperms353","locus_heterozygosity_relative","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","loci with >5% SNPs","loci with >10% SNPs"
"1","PAFTOL_019361",229521,164178,65343,61.6,58.4,71.6,770,534,236,6,3,3,239,139,100,0.16,0.14,0.21,0.666666666666667,47.7,45.32,51,0.888627450980392,10.88,2.09,0,0,0
"2","S_670",351312,268617,82695,94.3,95.5,90.6,770,534,236,15,11,4,291,183,108,0.589,0.583,0.607,0.960461285008237,81.44,82.51,79.63,1.03616727364059,41.92,22.34,4.47,0,0
"3","S0055",347943,265695,82248,93.4,94.5,90.1,770,534,236,20,12,8,278,176,102,0.208,0.174,0.32,0.54375,53.24,48.3,61.76,0.782059585492228,16.19,8.27,1.8,0,0
"4","S0156",262890,203964,58926,70.6,72.5,64.6,770,534,236,14,7,7,186,116,70,0.132,0.112,0.199,0.562814070351759,37.63,33.62,44.29,0.75908783020998,10.75,4.84,0.54,0,0
"5","S0196sl",231216,179451,51765,62.1,63.8,56.7,770,534,236,11,5,6,246,156,90,0.116,0.108,0.145,0.744827586206897,34.15,33.33,35.56,0.937289088863892,4.88,0,0,0,0
"6","S0268",347028,266013,81015,93.1,94.6,88.8,770,534,236,21,14,7,268,167,101,0.622,0.609,0.662,0.919939577039275,90.67,90.42,91.09,0.992644637172028,55.6,18.28,0,0,0
"7","S0275",335013,254706,80307,89.9,90.5,88,770,534,236,16,12,4,269,164,105,2.106,2.023,2.372,0.852866779089376,96.65,95.12,99.05,0.960323069156991,85.13,72.86,51.67,10.04,0
"8","S0277",271383,216699,54684,72.8,77,59.9,770,534,236,7,5,2,255,158,97,2.535,2.526,2.569,0.983261969637992,91.76,93.04,89.69,1.03735087523693,82.75,76.86,63.14,11.76,0
"9","S0278",279597,215964,63633,75,76.8,69.7,770,534,236,7,2,5,225,140,85,0.124,0.1,0.207,0.483091787439614,23.11,18.57,30.59,0.607061131088591,10.67,5.78,0.44,0,0
"10","S0279",313749,233856,79893,84.2,83.1,87.5,770,534,236,3,3,0,292,181,111,4.718,4.762,4.587,1.0381512971441,93.84,93.37,94.59,0.987102230679776,91.78,89.73,86.3,45.55,1.37
"11","S0280",339144,261474,77670,91,92.9,85.1,770,534,236,11,10,1,269,164,105,0.663,0.619,0.809,0.765142150803461,82.16,77.44,89.52,0.865058087578195,54.28,29.37,8.55,0,0
"12","S0281",341163,261993,79170,91.6,93.1,86.7,770,534,236,10,6,4,269,166,103,0.924,0.966,0.787,1.2274459974587,72.49,75.9,66.99,1.13300492610837,52.04,35.69,15.99,0,0
"13","S0282",351786,269247,82539,94.4,95.7,90.4,770,534,236,20,12,8,278,176,102,0.117,0.122,0.101,1.20792079207921,38.85,36.36,43.14,0.842837273991655,6.12,1.08,0,0,0
"14","S0283",301725,241617,60108,81,85.9,65.9,770,534,236,8,3,5,271,173,98,1.767,1.793,1.664,1.07752403846154,94.46,95.38,92.86,1.02713762653457,90.41,75.65,38.75,0,0
"15","S0284",237183,180972,56211,63.7,64.3,61.6,770,534,236,7,4,3,202,115,87,0.663,0.638,0.744,0.85752688172043,65.84,62.61,70.11,0.893025246041934,46.53,32.67,13.37,0,0
