Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: 0.02
Paralogs removed for each sample:
Sample	threshold	#removed	names
PAFTOL_019361 	0.00938	13	5670, 4802, 6494, 5922, 5634, 6041, 6685, 6457, 2G41700, 3G05350, 3G22980, 5G14230, 5G62310
S_670 	0.02369	41	5206, 5339, 6492, 6882, 5802, 6667, 7325, 6679, 5188, 6447, 7628, 6791, 6038, 5944, 6457, 1G02400, 1G04970, 1G16770, 1G19025, 1G50200, 1G55480, 1G61600, 1G80360, 2G21610, 2G26170, 2G30520, 2G38510, 2G39620, 2G40760, 3G01060, 3G14470, 3G15550, 3G46220, 3G55580, 4G00910, 4G24190, 4G38010, 5G36890, 5G44000, 5G60600, 5G63920
S0055 	0.01051	24	5960, 6859, 5840, 5922, 6405, 6649, 6601, 5918, 6462, 4992, 6636, 6029, 5944, 6379, 1G65840, 2G07360, 2G18760, 2G41700, 3G03710, 3G27730, 3G55160, 5G48520, 5G50210, 5G58480
S0156 	0.01619	10	7136, 5554, 5426, 5721, 2G46060, 3G11540, 3G11960, 3G12810, 5G20170, 5G54260
S0196sl 	0.00677	13	6238, 5642, 5634, 6458, 6483, 5398, 5354, 6854, 6507, 2G42490, 3G01460, 3G06483, 4G21770
S0268 	0.01858	51	5404, 5348, 6420, 7174, 5702, 5220, 6164, 6860, 6785, 5449, 6462, 4890, 7021, 6969, 5791, 6791, 5940, 5822, 5944, 5919, 7128, 1G02970, 1G03090, 1G03100, 1G06950, 1G21640, 1G27752, 1G49820, 1G67120, 1G73930, 2G30520, 3G06860, 3G06880, 3G23020, 3G52200, 4G00740, 4G02990, 4G04640, 4G16420, 4G37030, 5G10900, 5G11330, 5G16420, 5G22260, 5G25230, 5G40480, 5G46100, 5G51070, 5G54080, 5G54180, 5G66960
S0275 	0.06139	7	6780, 7141, 5943, 2G26780, 3G47700, 4G24790, 5G21990
S0277 	0.05818	0	
S0278 	0.02042	8	5870, 6958, 6383, 6947, 1G06560, 1G60995, 4G35870, 5G58750
S0279 	0.08412	3	6238, 1G55590, 3G08760
S0280 	0.02564	11	5280, 6487, 4527, 6679, 5554, 5034, 6954, 3G01060, 3G03710, 4G18950, 4G31770
S0281 	0.03191	2	5273, 6961
S0282 	0.01097	45	5404, 6946, 6393, 4471, 6492, 5220, 6882, 5326, 6056, 5922, 6679, 6913, 5791, 6791, 6401, 5271, 5940, 7361, 1G06260, 1G50940, 1G60490, 1G60560, 2G21610, 2G47020, 3G03380, 3G23020, 3G44880, 3G52200, 3G55070, 3G55160, 4G04970, 4G10020, 4G20060, 4G24190, 4G35880, 5G08280, 5G12290, 5G24240, 5G25230, 5G40405, 5G46070, 5G51070, 5G54080, 5G60570, 5G63920
S0283 	0.03977	7	6978, 6506, 6533, 5950, 6713, 4796, 4G36790
S0284 	0.03064	2	5G53480, 5G65500
S0285 	0.01342	5	7572, 1G68930, 3G02260, 4G16340, 5G11960
S0286 	0.13314	0	
S0288 	0.02738	14	1G07590, 1G72970, 2G40770, 3G01670, 3G16150, 4G03260, 4G17090, 4G20850, 4G23540, 4G30790, 4G35870, 5G02480, 5G04480, 5G22450
S0289 	0.02623	14	5941, 6679, 6540, 1G06560, 1G10910, 1G55150, 1G55250, 1G72970, 3G53150, 3G56370, 3G57610, 4G16660, 5G05680, 5G20890
S0292 	0.01911	42	7602, 5816, 6406, 4724, 6860, 5922, 6128, 7273, 5968, 4796, 6064, 6636, 6488, 5822, 6947, 6318, 1G02970, 1G09870, 1G10330, 1G10385, 1G30010, 1G77405, 1G80460, 2G34960, 3G06860, 3G17900, 3G53150, 4G18830, 4G20060, 4G28080, 4G32430, 4G34310, 5G02270, 5G13420, 5G16300, 5G20990, 5G24810, 5G36890, 5G39500, 5G40440, 5G63410, 5G63840
S0293 	0.01705	56	5200, 6532, 5104, 6299, 5339, 6238, 6641, 6893, 6667, 5922, 6550, 6679, 6462, 6886, 5398, 5791, 6373, 5857, 6797, 6540, 6968, 1G02420, 1G04110, 1G55760, 1G65320, 1G68930, 1G70260, 1G75200, 1G78280, 2G20050, 2G26800, 2G33770, 2G41700, 3G04740, 3G07080, 3G60830, 4G00550, 4G00910, 4G04640, 4G19460, 4G20060, 4G21680, 4G24190, 4G26090, 4G29010, 4G29810, 5G02270, 5G08490, 5G12470, 5G19680, 5G40405, 5G46220, 5G46580, 5G60570, 5G62370, 5G65500
S0294 	0.0222	14	6848, 5264, 6641, 5842, 5849, 6198, 6557, 6029, 6454, 1G79560, 2G38510, 3G19180, 5G08030, 5G22850
S0297 	0.02898	10	6933, 6779, 7572, 6660, 6378, 6791, 2G46890, 4G23540, 5G49830, 5G50210
S0298 	0.08516	0	
S0299 	0.01274	28	6864, 7241, 7331, 6198, 5974, 6538, 4951, 6454, 5406, 1G18270, 1G48090, 1G65380, 2G42490, 3G09650, 3G17810, 4G02260, 4G08150, 4G24610, 4G32430, 4G39850, 5G03280, 5G06120, 5G12470, 5G15540, 5G22030, 5G25230, 5G51340, 5G58430
S0300 	0.04872	7	1G68930, 4G02260, 4G30720, 4G33410, 5G08490, 5G43920, 5G54180
S0301 	0.01698	44	7602, 6376, 5348, 6882, 6270, 6660, 7325, 7135, 6679, 7021, 5968, 5791, 5857, 1G02970, 1G04730, 1G06270, 1G50940, 1G60490, 2G33770, 2G35150, 2G35500, 2G38000, 2G39620, 2G40730, 3G03380, 3G06270, 3G08670, 3G13490, 3G16270, 3G17880, 3G19630, 3G48425, 3G55070, 4G00910, 4G03220, 4G10020, 4G14940, 4G16660, 4G17830, 4G21680, 4G35760, 5G22330, 5G22750, 5G40405
S0303 	0.01377	25	6459, 5913, 6363, 6405, 5123, 5531, 5426, 6954, 6572, 1G07590, 1G51720, 1G66830, 2G25800, 2G35610, 3G09650, 3G11540, 4G01730, 4G20850, 4G26090, 4G30790, 5G11560, 5G13530, 5G30510, 5G50210, 5G54260
S0305 	0.04076	5	1G65840, 2G40840, 2G40860, 3G19210, 3G43300
S0306 	0.02383	0	
S0308 	0.01794	29	5104, 6048, 6864, 7313, 5264, 6226, 6488, 5271, 7333, 5926, 1G12470, 1G15440, 1G30010, 2G18760, 2G32900, 2G39260, 3G04340, 3G06530, 3G09650, 3G16910, 3G19180, 4G00550, 4G21680, 4G23540, 4G36630, 5G20270, 5G47780, 5G52280, 5G55540
S0312 	0.03554	2	1G72280, 5G17230
S0315 	0.05467	6	6198, 6527, 5822, 6924, 3G02260, 3G43300
S0317 	0.04597	10	6384, 6299, 6128, 6378, 1G10910, 4G02030, 4G04350, 4G23940, 5G18525, 5G65950
S0320 	0.01155	25	6864, 6216, 5733, 7331, 5859, 6913, 5791, 5304, 5866, 7296, 5257, 1G80410, 2G28070, 3G01150, 3G10380, 3G15380, 3G27730, 4G21680, 5G03280, 5G19610, 5G35460, 5G38530, 5G40440, 5G47040, 5G51750
S0322 	0.02024	24	6526, 5264, 6405, 5123, 6029, 6572, 1G06560, 1G20560, 1G55250, 2G26170, 2G28780, 2G32900, 2G40770, 3G27670, 3G51930, 4G17090, 4G18950, 4G30790, 5G13530, 5G51750, 5G53480, 5G58750, 5G62130, 5G65990
S0323 	0.04096	3	7111, 6488, 1G10910
