Removal of putative paralog loci.Paralogs removed for all samples:
Variable 'remove_loci_for_all_samples_with_more_than_this_mean_proportion_of_SNPs' set to: 0.02
Resulting threshold value (mean proportion of SNPs): 0.02 
770 loci were removed:
locus	mean_prop_SNPs
4757	0.0545
6110	0.0444
6016	0.0393
6620	0.0233
5200	0.0377
6780	0.026
4889	0.0405
5366	0.0306
7602	0.0207
5404	0.0373
6072	0.023
5578	0.0468
6738	0.0471
6946	0.0211
6376	0.0338
5921	0.0216
5816	0.0202
5168	0.0309
6532	0.0263
5502	0.0233
5318	0.0666
5177	0.0306
5348	0.0258
7141	0.0348
6420	0.0203
5664	0.0236
5770	0.0242
6148	0.0321
6176	0.0293
4932	0.022
5280	0.0323
6412	0.0302
5614	0.0303
7174	0.0239
7136	0.026
5206	0.0398
5064	0.0243
6498	0.0601
5131	0.0374
6450	0.0412
4691	0.0212
5138	0.0342
6459	0.0233
5702	0.0315
6914	0.0267
5599	0.0294
6487	0.0237
5913	0.0307
7067	0.031
6979	0.048
5339	0.0212
6048	0.0265
5870	0.0253
6387	0.0359
6492	0.0254
6034	0.029
7363	0.0212
7111	0.0208
7241	0.0218
6050	0.0375
5942	0.0335
5910	0.0305
5220	0.0312
5163	0.0304
6882	0.0281
5463	0.057
6652	0.0318
5434	0.0539
6859	0.0209
4724	0.0419
5477	0.0451
6528	0.0334
6114	0.0313
5090	0.0308
5326	0.0252
6639	0.0224
4954	0.0252
6404	0.0271
5990	0.0308
5716	0.024
6298	0.0229
5460	0.0273
4527	0.0463
6238	0.0207
5562	0.0241
6270	0.032
4802	0.0248
6221	0.0209
5802	0.0237
5945	0.0384
6026	0.0211
6500	0.0284
6265	0.0297
6641	0.0305
5639	0.0216
6258	0.0284
5357	0.0373
6000	0.0289
6363	0.0205
5899	0.0484
5894	0.0415
5427	0.0216
5335	0.0224
6496	0.0312
5347	0.0415
6164	0.0302
6825	0.0251
6667	0.0218
6003	0.0591
6860	0.0295
5660	0.0203
5821	0.0349
5422	0.0278
5454	0.0221
6955	0.0264
5840	0.0212
6439	0.0248
6909	0.0333
5536	0.0221
5644	0.0266
6494	0.0202
5421	0.0326
5018	0.0282
5842	0.0349
5941	0.0291
6958	0.021
6139	0.0386
5594	0.0234
6550	0.0294
6405	0.0229
6533	0.0242
6128	0.0242
5703	0.0223
6785	0.0236
6004	0.0206
5841	0.0364
5430	0.0446
6198	0.0223
6226	0.0227
5858	0.0401
6679	0.0233
4942	0.0312
5859	0.0344
5958	0.0488
5299	0.0265
6565	0.026
5865	0.0206
5815	0.0206
6130	0.0248
6460	0.0289
5699	0.0232
6098	0.027
5328	0.0483
7336	0.0205
5950	0.0289
5936	0.0257
5744	0.06
5918	0.021
5449	0.0219
6119	0.0226
6875	0.0254
6462	0.0244
4890	0.0386
6051	0.0396
6282	0.0247
6320	0.0224
4989	0.0327
5032	0.0265
5981	0.0216
6570	0.0489
6913	0.0218
6557	0.0231
6961	0.0204
4796	0.0281
5188	0.031
5123	0.0263
6563	0.0291
6036	0.0449
6886	0.0291
6447	0.0281
7628	0.0254
4806	0.0404
7029	0.0222
5843	0.0275
6883	0.0216
5343	0.038
5772	0.0368
6064	0.0219
6685	0.0236
5791	0.0214
5620	0.0258
5428	0.0338
6430	0.02
6544	0.0228
5333	0.0243
5354	0.0242
6733	0.0339
4793	0.0447
6636	0.0228
6373	0.0224
5893	0.0223
5949	0.0223
5977	0.0252
5853	0.0238
6401	0.0207
6746	0.0203
6274	0.0368
5940	0.0335
5469	0.0638
6947	0.027
6284	0.033
6038	0.025
5944	0.0202
5919	0.0314
5551	0.0326
5554	0.0209
5355	0.0402
4951	0.0351
5426	0.0264
6449	0.0281
6068	0.0206
5857	0.0325
4893	0.022
5116	0.026
5464	0.0617
6507	0.02
6175	0.0265
6954	0.0212
6782	0.023
5406	0.0241
5721	0.0299
7128	0.0302
6318	0.0205
6295	0.0378
5257	0.0272
5296	0.0272
1G01910	0.0283
1G02400	0.0288
1G02420	0.0236
1G02860	0.0358
1G02970	0.0326
1G03100	0.0233
1G03390	0.0222
1G04110	0.0281
1G04690	0.0323
1G04910	0.0324
1G04970	0.0207
1G05850	0.0379
1G05910	0.0296
1G06260	0.0353
1G06270	0.03
1G06440	0.0215
1G06560	0.0214
1G06950	0.0349
1G07590	0.0227
1G08460	0.0215
1G09010	0.0285
1G09340	0.0274
1G09870	0.0289
1G09900	0.026
1G10020	0.0213
1G10330	0.0303
1G10385	0.0208
1G10780	0.0292
1G11915	0.0303
1G12150	0.0421
1G12330	0.0412
1G12470	0.0225
1G13970	0.0355
1G15440	0.0249
1G15740	0.0229
1G16070	0.022
1G16570	0.0458
1G19025	0.0202
1G19860	0.0319
1G20080	0.0383
1G20560	0.0277
1G22620	0.0217
1G24610	0.0212
1G25500	0.0247
1G25570	0.023
1G27752	0.0203
1G27760	0.045
1G29690	0.0221
1G29900	0.0272
1G30000	0.0289
1G30440	0.0414
1G33410	0.0205
1G47380	0.0423
1G47670	0.0258
1G48090	0.0243
1G48880	0.0268
1G49820	0.0206
1G49970	0.0316
1G50120	0.0215
1G50200	0.0383
1G50940	0.0257
1G51550	0.0249
1G51720	0.0238
1G52520	0.021
1G52760	0.0324
1G53270	0.0233
1G55150	0.0239
1G55270	0.0467
1G55480	0.0328
1G55760	0.0293
1G55910	0.029
1G58120	0.0343
1G60060	0.023
1G60490	0.0214
1G60995	0.0247
1G61850	0.0318
1G63160	0.0256
1G63660	0.0215
1G63700	0.0276
1G65320	0.0239
1G65840	0.0204
1G66830	0.0247
1G67120	0.0227
1G67560	0.0254
1G68570	0.0369
1G68740	0.0294
1G68830	0.0211
1G70260	0.0411
1G70570	0.0275
1G70820	0.0212
1G72280	0.0234
1G72970	0.0306
1G73180	0.0204
1G73930	0.0223
1G74460	0.0216
1G74680	0.0226
1G75200	0.0354
1G76400	0.0218
1G78280	0.0209
1G79080	0.0234
1G80350	0.0235
1G80360	0.0374
1G80410	0.0345
1G80460	0.0398
2G01070	0.0216
2G02560	0.0224
2G04660	0.0294
2G13370	0.0229
2G13540	0.021
2G15620	0.0256
2G15695	0.0283
2G16440	0.0291
2G16880	0.0321
2G17020	0.0208
2G17510	0.0217
2G17760	0.0325
2G18710	0.0244
2G20050	0.0236
2G20190	0.0319
2G21470	0.0316
2G21610	0.0293
2G22120	0.0348
2G23140	0.0308
2G25800	0.0245
2G26180	0.0225
2G26780	0.0236
2G26930	0.0212
2G27090	0.0241
2G27500	0.0268
2G27590	0.0214
2G28070	0.0219
2G28780	0.0338
2G29050	0.0206
2G30520	0.0244
2G31530	0.0278
2G32040	0.0212
2G32590	0.0304
2G32900	0.0265
2G33770	0.0203
2G35040	0.0333
2G35150	0.0218
2G35610	0.0367
2G35720	0.0243
2G36840	0.0216
2G37230	0.0272
2G37310	0.0267
2G37320	0.0353
2G37370	0.0356
2G38000	0.0217
2G38280	0.0209
2G38500	0.0352
2G38510	0.026
2G38770	0.0207
2G39260	0.0229
2G39450	0.0307
2G39620	0.0268
2G39730	0.0388
2G39830	0.0313
2G39970	0.0277
2G40070	0.0394
2G40190	0.0296
2G40730	0.038
2G40760	0.0357
2G40890	0.0344
2G41190	0.0383
2G42490	0.0286
2G42700	0.0231
2G42850	0.023
2G43235	0.0263
2G43420	0.0236
2G43770	0.0549
2G43890	0.0278
2G45500	0.0332
2G46060	0.03
2G46370	0.054
2G46890	0.0272
2G47020	0.0252
2G47790	0.0269
3G01100	0.0346
3G01460	0.0263
3G01670	0.0305
3G02130	0.0222
3G02570	0.0356
3G03210	0.0385
3G03380	0.0271
3G03710	0.0327
3G04480	0.031
3G04740	0.0244
3G06270	0.0343
3G06483	0.021
3G06530	0.0242
3G06810	0.0216
3G06860	0.0289
3G06880	0.0209
3G07080	0.0325
3G07140	0.0303
3G07420	0.0338
3G08670	0.0359
3G08760	0.0303
3G08950	0.0303
