Gene Species Taxon Signature
5G47040 PAFTOL_019361 PAFTOL_019361 0.3331292032204955
5G47040 S0278 S0278 0.05106289343852585
5G47040 SRR8528381 SRR8528381 0.05106289343852585
5G47040 S0376 S0376 0.05106289343852585
5G47040 S0620 S0620 0.016882828993399625
5G47040 S1052sl S1052sl 0.016882828993399625
5G47040 S1100 S1100 0.05106289343852585
5G47040 S1148 S1148 0.05106289343852585
5G47040 S1223 S1223 0.05106289343852585
5G47040 S0735 S0735 0.05106289343852585
5G47040 S1180 S1180 0.05106289343852585
5G47040 S0428sl S0428sl 0.05106289343852585
5G47040 S1189 S1189 0.016882828993399625
5G47040 S0645sl S0645sl 0.010234033707116787
5G47040 S0322 S0322 0.014654457511116784
5G47040 S0558 S0558 0.014654457511116784
5G47040 S1251 S1251 0.010234033707116787
5G47040 S0294 S0294 0.014654457511116784
5G47040 S0689 S0689 0.014654457511116784
5G47040 S0888 S0888 0.014654457511116784
5G47040 S1110 S1110 0.003576499776688144
5G47040 S0407sl S0407sl 0.010234033707116787
5G47040 S0289 S0289 0.007382990950140675
5G47040 S1451 S1451 0.004605514608586783
5G35460 S1129sl S1129sl 0.09320409670930983
5G35460 S1180 S1180 0.12258794487073443
5G35460 S0735 S0735 0.12258794487073443
5G35460 S1128 S1128 0.04905834190047258
5G35460 S1269 S1269 0.04905834190047258
5G35460 S0558 S0558 0.04905834190047258
5G35460 S1102 S1102 0.04905834190047258
5G35460 S0771 S0771 0.04905834190047258
5G35460 SRR8528381 SRR8528381 0.03365646557800654
5G35460 SRR8528354 SRR8528354 0.03365646557800654
5G35460 SRR8528391 SRR8528391 0.04905834190047258
5G35460 S0412sl S0412sl 0.04905834190047258
5G35460 S1214sl S1214sl 0.006721027275141547
5G35460 S0407sl S0407sl 0.020353150997357804
5G35460 SRR8528347 SRR8528347 0.020353150997357804
5G35460 S0645sl S0645sl 0.020353150997357804
5G35460 S0327 S0327 0.020353150997357804
5G35460 S0899 S0899 0.020353150997357804
5G35460 S0624 S0624 0.020353150997357804
5G35460 S0299 S0299 0.004665764002286099
5G35460 S0292 S0292 0.0038389139214866355
5G58480 PAFTOL_019361 PAFTOL_019361 0.3477657941233961
5G58480 S1100 S1100 0.05527484919167498
5G58480 S1249 S1249 0.05527484919167498
