"","genes","no_samples_before","no_samples_cleaned","no_samples_removed","fraction_samples_removed","gene_length","dist_raw_mean","dist_raw_min","dist_raw_max","dist_raw_stdev","dist_raw_CI_95_lower","dist_raw_CI_95_upper","N_sites","N_taxa","t_Entropy","t_predicted_threshold_Entropy","t_predicted_TPR_Entropy","t_predicted_FPR_Entropy","Risk_Entropy","t_Entropyvar","t_predicted_threshold_Entropyvar","t_predicted_TPR_Entropyvar","t_predicted_FPR_Entropyvar","Risk_Entropyvar","gene_tree_mean_node_support","gene_tree_clocklikeliness","mean_SNP_prop","genes_non_saturated","genes_high_BS","genes_clocklike","genes_SNP_prop_low","genes_alignments_long","genes_to_keep"
"1","1G01220",329,315,14,0.0425531914893617,399,0.0619670899461646,0,0.218666666666667,0.0316551014022438,0.0616880943640652,0.0622460855282641,376,315,84.98,16.34,0.74,0.28,"low.risk",56.43,28.36,0.87,0.04,"low.risk",71.4230769230769,0.505892766674649,0.0194168419163916,1,0,0,1,1,0
"2","1G01770",353,299,54,0.152974504249292,537,0.0760926941011647,0,0.175046554934823,0.0249270528849699,0.0758612201648366,0.0763241680374928,514,299,112.26,19.94,0.77,0.33,"low.risk",75.41,30.07,0.86,0.04,"low.risk",78.7094594594595,0.445197371446826,0.0169554775828377,1,1,0,1,1,0
"3","1G01910",286,285,1,0.00349650349650354,255,0.0695452338586336,0,0.203252032520325,0.0306311376232307,0.0692467934646543,0.0698436742526129,210,285,123.12,10.92,0.67,0.18,"low.risk",27.51,25.51,0.92,0.07,"low.risk",68.3475177304964,0.519415564376864,0.0276718064074154,1,0,0,0,1,0
"4","1G02400",287,275,12,0.0418118466898955,336,0.0818947772035547,0,0.195195195195195,0.030122364539273,0.0815906015334472,0.0821989528736622,274,275,102.47,13.28,0.7,0.22,"low.risk",54.37,26.96,0.9,0.06,"low.risk",76.6066176470588,0.309619449646252,0.0285338463246113,1,1,1,0,1,0
"5","1G02420",361,325,36,0.0997229916897507,803,0.0963016752921892,0,0.304044630404463,0.0458130571364079,0.0959103407704923,0.096693009813886,677,325,91.19,23.45,0.81,0.37,"low.risk",61.2,31.29,0.85,0.03,"low.risk",81.4534161490683,0.591516966153048,0.0224491124372898,1,1,0,0,1,0
"6","1G02860",263,250,13,0.0494296577946768,271,0.0721938510348925,0,0.20377358490566,0.0349370940983684,0.0718057032787046,0.0725819987910804,184,250,53.89,9.97,0.66,0.15,"low.risk",31.25,25.57,0.92,0.08,"low.risk",69.8866396761134,0.410792357081776,0.0356379085259421,1,0,0,0,1,0
"7","1G02970",302,297,5,0.0165562913907285,24,0.10906114880042,0,0.416666666666667,0.0703924722890816,0.108403071082237,0.109719226518602,20,297,14.41,0,0.49,0,"low.risk",NA,23.51,0.97,0.11,"low.risk",36.3636363636364,0.535737817632448,0.0321397459282559,1,0,0,0,0,0
"8","1G03100",377,340,37,0.0981432360742706,1952,0.0852369868046252,0,0.297730307076101,0.0433993052467576,0.0848826504769196,0.0855913231323309,1661,340,194.39,38.09,0.86,0.46,"low.risk",150.9,40.41,0.82,0.09,"low.risk",85.5430267062315,0.530679098611101,0.0223257072192685,1,1,0,0,1,0
"9","1G03390",357,321,36,0.100840336134454,1226,0.109132498709685,0,0.272558139534884,0.0400597175159901,0.108786038231051,0.109478959188319,1043,321,154.38,29.91,0.84,0.43,"low.risk",94.12,34.84,0.83,0.04,"low.risk",86.1289308176101,0.383304825044888,0.0216382544932402,1,1,0,0,1,0
"10","1G04110",348,307,41,0.117816091954023,1224,0.10346141255408,0,0.256993006993007,0.043841626725439,0.103064923648637,0.103857901459523,977,307,190.86,28.88,0.84,0.42,"low.risk",87.04,35.61,0.83,0.05,"low.risk",84.1447368421053,0.671163686891749,0.0277949710002937,1,1,0,0,1,0
"11","1G04690",343,323,20,0.0583090379008746,369,0.0752108870529948,0,0.260115606936416,0.0355872324644119,0.0749050161145422,0.0755167579914475,285,323,100.08,13.54,0.71,0.24,"low.risk",39.13,25.96,0.91,0.06,"low.risk",79.4056603773585,0.524206984450925,0.0317028582238531,1,1,0,0,1,0
"12","1G04730",312,297,15,0.0480769230769231,255,0.0892371031565993,0,0.262745098039216,0.0320909977054759,0.0889370942230092,0.0895371120901894,246,297,56.96,12.24,0.69,0.21,"low.risk",44.51,27.33,0.89,0.05,"low.risk",68.6190476190476,0.18942020398215,0.0172536619010098,1,0,1,1,1,0
"13","1G04910",354,308,46,0.129943502824859,669,0.0525851452089527,0,0.174887892376682,0.023567120024486,0.0523727052664314,0.052797585151474,521,308,177.96,20.09,0.78,0.33,"low.risk",55.84,29.52,0.86,0.04,"low.risk",73.3770491803279,0.529907332688108,0.0317036512005383,1,0,0,0,1,0
"14","1G04970",324,315,9,0.0277777777777778,367,0.102713439803339,0,0.242506811989101,0.0332244913751458,0.102420612236832,0.103006267369847,327,315,74.05,14.89,0.72,0.26,"low.risk",46.99,28.01,0.88,0.04,"low.risk",78.8231511254019,0.408355900193015,0.0205216238458736,1,1,0,0,1,0
"15","1G05850",320,318,2,0.00624999999999998,267,0.0712700541022096,0,0.250936329588015,0.0356090756296929,0.0709591753592728,0.0715809328451464,200,318,136.5,10.45,0.67,0.18,"low.risk",60.3,25.41,0.92,0.07,"low.risk",71.4952380952381,0.60370585843333,0.0370245043069843,1,0,0,0,1,0
"16","1G05910",380,349,31,0.0815789473684211,1759,0.0566208252594016,0,0.202366863905325,0.0318708305467652,0.0563673341155936,0.0568743164032097,1501,349,248.64,36.18,0.86,0.46,"low.risk",98.13,38.63,0.82,0.07,"low.risk",84.1040462427746,0.156652806560288,0.0279269414723345,1,1,1,0,1,0
"17","1G05960",144,133,11,0.0763888888888888,249,0.0805273677289971,0,0.182266009852217,0.0348895610101594,0.0797973965695463,0.0812573388884479,180,133,82.93,10.63,0.66,0.15,"low.risk",53.51,22.61,0.91,0.1,"low.risk",57.9846153846154,0.400379911288381,0.018248854773104,1,0,0,1,0,0
"18","1G06260",332,316,16,0.0481927710843374,585,0.0879516414780076,0,0.227194492254733,0.0333120567633204,0.0876589727766316,0.0882443101793836,442,316,89.82,18.13,0.76,0.31,"low.risk",38.14,28.48,0.87,0.04,"low.risk",80.1533546325879,0.404224678378517,0.0352007272758222,1,1,0,0,1,0
"19","1G06270",370,354,16,0.0432432432432432,951,0.0748919212390284,0,0.235074626865672,0.0312946959902482,0.074646533276091,0.0751373092019659,775,354,156.63,25.32,0.82,0.4,"low.risk",108.14,31.59,0.84,0.03,"low.risk",82.9230769230769,0.304488058825005,0.0293373821175279,1,1,1,0,1,0
"20","1G06440",368,352,16,0.0434782608695652,615,0.0813474499910199,0,0.254966887417219,0.0343622897483726,0.0810764752538642,0.0816184247281755,515,352,87.92,19.89,0.78,0.34,"low.risk",63.14,29.52,0.85,0.03,"low.risk",79.2578796561605,0.492222559352532,0.0210645035071048,1,1,0,0,1,0
"21","1G06590",347,306,41,0.118155619596542,350,0.0677245738666696,0,0.213414634146341,0.0241076327934835,0.0675058388626596,0.0679433088706796,335,306,93,15.15,0.73,0.26,"low.risk",79.46,28.68,0.87,0.04,"low.risk",73.6435643564356,0.399224492049653,0.016638705328928,1,0,0,1,1,0
"22","1G06710",381,345,36,0.094488188976378,2148,0.0829175807704368,0,0.270612038442084,0.0321291272530237,0.0826590679373062,0.0831760936035674,1979,345,185.94,41.54,0.85,0.45,"low.risk",153.95,41.18,0.82,0.1,"low.risk",89.7690058479532,0.227522425051807,0.0183458805486008,1,1,1,1,1,1
