"","PAFTOL_019361","S_670","S0055","S0156","S0196sl","S0268","S0275","S0277","S0278","S0279","S0280","S0281","S0282","S0283","S0284","S0285","S0286","S0288","S0289","S0292","S0293","S0294","S0297","S0298","S0299","S0300","S0301","S0303","S0305","S0306","S0308","S0312","S0315","S0317","S0320","S0322","S0323","S0327","S0329","S0331","S0335","S0345","S0346","S0355","S0371","S0373","S0376","S0377","S0380","S0381","S0383","S0384","S0385","S0400","S0403sl","S0405","S0407sl","S0412sl","S0416","S0417","S0419","S0420sl","S0421","S0424","S0427","S0428sl","S0430","S0435","S0436","S0450","S0464","S0478","S0509","S0512sl","S0521","S0547","S0552sl","S0555","S0558","S0560","S0562","S0577","S0583","S0590","S0591","S0593","S0612","S0613sl","S0616","S0617","S0620","S0624","S0641","S0642","S0643","S0645sl","S0647-2","S0654","S0655sl","S0656sl","S0657","S0660sl","S0662","S0664","S0667","S0669","S0670","S0671","S0672","S0673","S0677","S0688","S0689","S0690","S0691","S0717","S0718","S0720","S0721sl","S0722","S0724sl","S0726","S0727","S0728sl","S0731sl","S0732","S0733sl","S0735","S0739","S0740","S0741","S0742","S0743","S0745","S0746","S0747sl","S0748","S0751","S0752","S0753","S0754","S0756","S0757","S0758","S0760","S0762-2","S0763","S0764","S0765","S0766","S0768","S0770","S0771","S0772","S0791","S0795","S0809","S0827","S0834","S0836","S0851","S0888","S0890","S0892","S0893","S0894","S0895","S0896","S0897","S0899","S0901","S0902","S0903","S0904","S0906","S0941","S0946","S0947sl","S0949","S0951","S0952","S0954","S0956","S0957","S0959","S0960","S0963","S0964","S0989","S1011sl","S1021","S1038","S1039","S1040","S1043sl","S1044","S1045","S1050","S1052sl","S1053sl","S1069","S1072","S1074","S1077","S1083","S1089","S1093sl","S1095","S1096","S1097","S1098","S1100","S1102","S1103","S1106sl","S1110","S1111","S1113","S1114-2","S1116","S1117","S1118","S1119","S1120","S1121","S1128","S1129sl","S1148","S1168","S1176","S1177","S1180","S1181-2","S1182","S1184","S1187sl","S1188","S1189","S1201sl","S1204","S1208sl","S1210","S1211","S1213","S1214sl","S1220","S1221sl","S1223","S1227","S1229-2","S1230","S1232sl","S1234","S1235sl","S1238sl","S1239","S1241","S1245","S1246","S1249","S1250sl","S1251","S1258-2","S1260","S1261","S1262","S1266sl","S1269","S1270","S1276","S1278","S1279","S1314","S1315","S1318-2","S1319","S1328sl","S1331","S1332","S1336","S1339","S1341","S1342","S1354","S1365","S1366","S1368","S1369","S1370","S1371","S1374","S1375","S1376","S1378","S1381","S1400","S1401","S1405","S1407","S1408","S1409","S1419","S1421","S1422","S1424","S1428","S1442","S1449","S1451","S1458","S1459","S1460","S1462","S1464","S1474","S1475","S1498","S1506","S1509","S1519","S1539","S1541sl","S1561","S1579","SRR11470320","SRR8528336","SRR8528338","SRR8528339","SRR8528341","SRR8528342","SRR8528343","SRR8528347","SRR8528350","SRR8528354","SRR8528356","SRR8528357","SRR8528358","SRR8528359","SRR8528361","SRR8528364","SRR8528365","SRR8528370","SRR8528372","SRR8528373","SRR8528376","SRR8528379","SRR8528380","SRR8528381","SRR8528382","SRR8528384","SRR8528385","SRR8528388","SRR8528389","SRR8528391","SRR8528394","SRR8528397","SRR8528398","SRR8528399","SRR8528400"
"6995",NA,237,237,NA,NA,150,237,180,NA,237,237,237,NA,177,NA,237,150,NA,237,237,93,237,NA,237,180,NA,150,231,NA,NA,237,237,237,237,NA,237,237,NA,237,NA,NA,NA,237,NA,NA,237,NA,237,237,NA,NA,237,150,150,180,237,NA,237,237,237,NA,237,NA,NA,237,NA,234,237,NA,237,237,NA,NA,NA,237,237,237,237,237,NA,237,NA,237,NA,237,237,237,237,NA,NA,237,237,237,237,150,237,237,NA,93,NA,237,NA,237,NA,237,237,237,237,NA,237,237,NA,NA,NA,237,237,237,237,237,237,237,NA,237,NA,NA,237,120,237,237,237,237,237,237,237,237,237,237,237,237,NA,237,237,237,237,237,150,NA,237,NA,237,237,237,237,153,NA,237,237,NA,237,237,237,237,NA,237,NA,231,237,237,99,NA,237,180,237,NA,237,231,NA,237,237,NA,NA,237,NA,NA,237,96,237,NA,NA,NA,237,231,150,237,219,90,237,NA,150,NA,237,237,NA,NA,237,237,237,237,237,150,237,237,NA,237,150,237,237,237,NA,237,150,NA,237,237,237,NA,237,237,237,237,NA,237,237,237,237,NA,237,237,237,237,NA,NA,237,237,237,93,192,237,237,237,237,237,237,237,NA,237,237,NA,NA,231,237,237,150,159,NA,180,234,237,NA,237,150,150,237,237,237,150,237,231,237,NA,NA,237,237,237,NA,150,237,237,150,237,237,237,237,NA,237,237,219,171,237,237,237,237,NA,NA,237,240,NA,237,NA,NA,150,237,237,237,NA,150,237,NA,237,237,237,90,237,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6933",492,552,669,579,492,669,666,366,579,630,579,579,669,489,528,579,336,NA,669,579,579,666,462,669,579,576,579,492,NA,NA,630,630,669,630,579,492,669,579,630,462,579,186,579,NA,NA,669,492,669,669,426,576,630,630,579,579,669,573,495,630,579,579,666,579,NA,630,NA,579,579,579,630,579,579,651,591,579,576,669,630,669,582,579,399,669,651,666,579,579,579,669,NA,486,579,669,630,579,633,669,579,630,579,537,462,669,669,579,669,669,633,630,846,582,579,669,579,630,630,669,630,669,630,579,669,669,456,624,669,387,627,630,630,669,579,660,630,651,669,630,579,669,276,657,669,579,582,579,579,669,666,579,582,669,627,630,579,NA,630,669,576,579,579,579,669,573,579,492,579,669,NA,534,501,591,627,666,NA,579,498,579,669,669,NA,579,579,579,576,669,582,579,579,342,714,603,579,579,579,492,579,579,NA,576,573,579,630,579,630,630,579,579,630,630,579,579,573,612,630,579,579,648,492,579,669,819,579,579,492,579,579,630,579,669,579,579,630,666,630,579,327,576,630,669,651,645,543,672,630,630,339,579,579,669,579,630,579,630,669,579,579,579,669,579,630,579,579,579,579,573,243,492,492,579,669,669,669,669,648,579,579,627,618,630,486,579,669,606,630,579,579,576,669,666,579,579,669,630,579,669,669,633,579,639,657,630,579,666,579,669,630,579,669,435,243,570,669,630,630,579,579,579,435,582,336,888,576,585,579,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5038",633,705,705,NA,441,705,705,393,591,705,705,681,705,450,654,606,270,NA,654,660,546,705,486,705,444,NA,705,606,NA,NA,705,645,705,705,594,660,648,654,591,NA,705,NA,705,NA,NA,705,708,705,705,564,618,705,663,552,363,705,483,519,660,NA,705,705,606,NA,705,NA,648,705,534,591,705,NA,705,351,705,705,705,705,705,492,621,594,705,705,648,636,660,654,705,NA,NA,660,705,660,468,705,696,492,492,705,528,99,705,597,705,705,705,660,705,615,591,705,705,495,705,705,705,705,705,705,705,591,705,363,705,648,228,705,705,648,660,681,648,705,705,705,705,705,705,291,705,705,705,489,705,708,705,705,651,705,657,705,705,NA,NA,705,705,678,141,705,702,705,378,663,NA,591,648,705,NA,501,705,315,705,NA,705,405,705,705,705,NA,576,591,663,519,705,552,705,552,405,NA,705,648,543,651,519,705,705,462,300,171,702,705,681,705,705,660,705,648,705,387,705,612,591,594,339,561,705,399,171,705,705,NA,609,705,663,660,705,705,687,531,705,705,660,660,612,NA,618,705,705,435,378,600,705,705,705,NA,543,612,705,699,705,633,705,705,516,705,705,591,591,705,660,705,627,660,339,663,702,660,468,648,705,705,705,705,651,591,660,552,705,462,NA,705,705,705,660,660,552,705,705,591,705,705,660,705,705,648,705,570,705,705,558,705,360,705,705,705,492,705,594,171,321,705,660,705,594,504,648,300,648,660,651,648,651,705,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5489",903,966,966,723,429,966,960,270,558,876,855,708,966,576,585,852,636,NA,840,933,387,966,594,714,894,NA,780,822,NA,NA,891,807,738,711,378,711,711,666,711,324,885,402,939,NA,NA,900,429,933,918,525,711,966,894,681,393,852,711,894,489,738,711,918,897,NA,966,297,711,783,699,708,711,900,192,474,849,906,927,780,966,585,738,579,711,477,966,390,852,891,708,NA,NA,807,963,708,711,897,711,915,573,789,711,162,936,816,516,885,663,966,966,711,930,696,NA,477,930,906,822,897,966,900,711,543,933,408,711,819,504,921,711,783,966,966,738,963,966,915,936,186,933,381,903,966,318,711,966,903,966,969,711,732,738,711,966,711,NA,909,804,711,528,408,711,798,339,966,408,582,906,966,501,288,966,147,966,NA,924,726,852,732,783,NA,NA,921,714,594,933,777,900,687,531,NA,876,831,711,711,711,711,966,711,663,816,195,801,966,825,711,321,894,897,933,408,795,780,711,834,711,411,855,585,147,906,558,708,603,837,708,963,963,966,711,711,720,846,876,723,783,NA,954,966,948,966,NA,711,966,966,810,399,711,618,966,711,897,909,711,966,729,801,966,711,711,711,636,966,828,618,393,711,417,465,528,966,777,711,711,738,498,777,666,711,939,414,708,966,786,936,555,711,711,966,966,966,783,963,783,222,963,780,711,561,966,711,567,897,228,867,186,723,645,933,696,138,NA,969,711,900,711,303,483,243,711,99,849,945,198,660,945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6978",870,876,876,876,600,876,876,618,849,873,849,879,876,795,804,807,678,NA,828,678,729,876,678,873,861,876,846,624,NA,NA,873,819,876,876,795,873,882,852,876,873,678,462,678,NA,NA,882,822,882,678,705,858,678,276,849,855,876,804,792,873,849,876,876,873,NA,876,597,651,849,849,873,882,876,876,624,849,882,876,849,876,768,849,624,576,855,876,849,876,876,873,153,522,795,876,873,759,873,678,822,771,726,873,585,678,876,882,678,801,876,876,873,876,876,876,669,828,879,423,876,849,876,849,666,678,723,678,873,450,876,873,873,876,876,876,678,876,882,873,876,678,795,678,876,873,876,849,849,876,873,873,849,678,876,876,678,NA,873,876,819,381,873,678,873,579,849,795,873,876,876,678,873,876,NA,873,NA,873,849,876,876,876,762,873,678,876,849,849,876,693,876,NA,678,600,624,678,849,873,678,873,849,426,666,870,849,876,876,873,873,819,873,678,222,678,849,873,849,678,678,873,807,786,876,849,801,624,873,405,876,876,876,678,873,876,876,885,876,876,657,873,849,870,876,852,873,876,873,678,753,879,876,876,849,873,873,873,876,849,873,795,873,858,873,846,873,651,873,804,474,873,870,522,825,876,876,876,873,705,678,873,879,678,849,849,876,876,876,873,870,873,876,876,822,873,762,678,804,876,849,678,852,876,678,855,876,678,849,876,876,678,876,846,498,708,876,876,678,873,828,795,495,678,678,873,795,855,795,873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5670",1185,1578,1401,1296,1134,1575,1389,594,1053,1575,1296,1347,1296,1125,1287,1260,1224,648,1347,1347,1107,1401,1296,369,1311,1374,1296,996,714,471,1299,1401,1308,1401,1182,1302,1323,1296,1296,1296,1503,876,1578,564,843,1401,1350,1347,1347,1113,1203,1296,1347,1257,1299,1401,1191,1296,1401,1347,1293,1347,1383,846,1575,705,1299,1548,1482,1347,1401,1296,1347,879,1401,360,1401,1347,1572,1206,1347,717,1452,1347,1347,735,1575,1296,1302,852,933,1347,1545,1452,1428,1392,1152,1347,1299,975,1296,795,1341,1347,1296,1347,1575,1521,1401,1401,1296,1296,1431,969,1572,1260,1401,1401,1296,1548,1302,1296,1575,909,1296,1392,1104,1575,1293,1404,1401,1401,1347,1347,1545,1401,1404,1296,1515,525,1521,1521,1026,1296,1347,1029,1401,1296,1293,1299,1251,1347,1347,1191,NA,1347,1569,1263,1173,1347,1296,1455,930,951,1194,1350,1305,1551,483,1293,1401,1200,1545,NA,1296,1221,1521,1575,1296,378,1293,1401,1296,1299,1521,1293,1341,1296,1176,1311,1401,654,1296,1296,1131,1296,1347,1293,1299,1296,1395,1296,1545,1260,1575,1296,1347,1296,1347,1005,1296,1296,1290,1296,1341,1260,1299,1290,1347,1554,1296,1035,1410,978,1290,1296,1452,1491,1353,1404,1290,1521,1062,1347,1212,897,1296,1347,1401,1095,1200,1299,1572,1395,1521,990,1293,1296,1401,1302,1401,1365,1347,1575,1284,1401,1347,1401,1347,1299,1347,1347,1296,1302,1302,1449,1410,1035,1194,1344,1452,1296,1296,1455,1296,1347,1371,1296,1296,1173,1296,1575,1347,1521,1290,1296,1296,1575,1575,1260,1350,1401,1347,1341,1575,1401,1341,1260,1509,1290,1209,1185,1506,1401,1575,1401,1245,1401,1293,552,1296,1575,1575,1401,1347,993,1479,720,1401,1578,1401,1299,1347,1296,1575,1026,996,912,1035,1029,852,987,1011,987,993,1575,834,933,975,870,1029,963,972,1035,1011,996,834,1011,912,1044,849,987,987,891,987,957,1011,831,1014
"7371",144,237,237,NA,177,237,210,NA,NA,213,NA,NA,NA,NA,144,96,NA,NA,NA,237,213,144,NA,213,NA,NA,213,NA,NA,NA,231,213,237,NA,NA,NA,237,NA,144,NA,237,NA,237,NA,NA,237,237,147,NA,144,NA,NA,234,NA,174,237,NA,213,96,NA,213,237,NA,NA,237,NA,144,237,213,210,NA,NA,237,NA,237,213,237,234,NA,NA,72,NA,237,NA,NA,237,NA,234,NA,NA,NA,129,237,144,144,144,72,NA,237,180,144,NA,NA,144,NA,NA,237,NA,237,210,210,210,NA,NA,213,NA,237,NA,237,213,228,144,237,144,NA,210,NA,213,213,219,NA,213,144,234,210,237,228,237,237,213,237,237,72,NA,NA,234,213,213,NA,213,NA,213,213,213,NA,NA,237,NA,144,213,237,210,NA,144,NA,213,72,237,213,180,NA,144,213,NA,NA,NA,NA,237,237,NA,NA,237,144,NA,213,144,NA,237,69,NA,NA,144,96,237,234,144,237,96,231,96,144,237,144,210,213,NA,237,NA,144,144,237,213,237,NA,144,231,234,144,NA,234,144,144,144,213,228,210,210,213,237,213,213,147,144,210,NA,NA,213,144,237,144,237,237,237,NA,237,147,213,174,237,213,213,72,144,237,213,NA,NA,213,183,NA,NA,NA,144,213,156,234,144,237,237,237,NA,NA,237,225,144,NA,NA,NA,210,234,72,237,237,210,NA,237,NA,NA,237,237,237,216,237,234,237,144,213,NA,234,213,NA,237,NA,237,NA,210,NA,213,NA,NA,93,213,213,237,NA,NA,213,NA,213,237,213,144,213,144,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6384",555,786,789,NA,NA,786,777,315,NA,999,822,900,786,384,NA,261,522,NA,771,963,708,771,NA,792,420,NA,738,543,NA,NA,720,948,822,822,369,468,777,321,558,NA,855,NA,855,NA,NA,1356,555,NA,819,684,NA,777,NA,627,396,792,NA,636,795,474,906,999,NA,NA,915,NA,543,786,492,759,762,93,864,NA,762,963,855,363,966,NA,699,NA,843,NA,963,636,792,633,672,NA,405,NA,870,795,561,816,834,NA,279,627,471,NA,720,792,NA,816,870,768,777,924,639,618,945,183,825,834,804,906,780,771,543,NA,NA,597,672,999,174,870,834,909,768,777,852,999,804,855,999,795,807,420,822,786,810,636,948,903,786,792,570,924,795,768,744,NA,NA,906,870,471,NA,756,708,999,744,549,NA,642,786,870,150,NA,906,165,834,NA,906,294,NA,1236,777,NA,495,609,762,NA,843,426,NA,666,NA,NA,783,558,771,369,NA,771,963,414,600,105,903,855,651,651,999,858,906,876,849,585,771,618,NA,759,606,597,999,309,NA,798,771,162,177,639,867,774,834,726,396,543,768,834,939,639,552,NA,501,693,906,870,NA,573,816,558,924,NA,768,780,786,831,885,903,822,870,558,630,564,924,438,450,762,495,306,615,282,636,432,NA,762,651,786,786,549,762,771,465,486,726,831,609,648,861,660,1011,462,NA,471,870,786,516,714,777,777,NA,861,786,852,486,870,837,321,696,NA,759,801,696,237,939,465,207,339,870,804,783,279,222,747,NA,633,702,984,423,939,750,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6393",798,816,816,537,558,816,816,450,567,645,816,645,816,597,624,819,675,NA,660,765,600,816,702,816,456,816,816,720,NA,NA,816,816,792,798,582,351,NA,573,816,537,807,NA,789,NA,NA,819,789,816,741,612,729,816,291,792,669,816,570,726,762,663,645,822,555,NA,816,417,729,816,720,777,792,570,816,351,789,807,813,804,816,801,684,351,798,NA,807,816,816,717,813,162,627,174,816,810,816,657,612,645,471,570,573,504,795,792,795,792,807,816,816,816,750,816,NA,654,585,816,816,816,795,810,684,792,NA,654,801,813,735,648,816,756,816,813,792,813,813,798,816,807,714,735,813,816,816,609,645,813,816,816,645,699,801,645,816,720,NA,645,813,606,555,645,612,816,633,561,630,567,813,816,603,657,648,468,816,NA,780,729,819,816,816,453,723,792,732,816,816,726,564,477,438,615,795,720,789,810,735,1032,816,735,531,624,816,813,813,816,645,684,729,720,789,261,798,804,759,816,729,684,816,531,471,816,630,693,693,813,645,819,819,642,792,660,645,804,720,531,717,354,873,810,807,759,357,816,813,816,816,402,489,783,816,645,567,567,561,813,NA,573,570,561,564,660,573,555,624,612,717,612,807,696,636,816,816,816,792,816,816,729,870,768,813,360,726,789,825,810,570,732,603,816,819,816,642,816,765,372,816,816,798,348,813,798,558,729,798,612,816,810,351,813,471,474,477,810,645,813,567,357,645,594,822,702,648,738,807,696,645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,816,NA,NA,NA,NA,NA,NA,NA,486,NA,NA,NA,NA,81,NA,NA,330,NA,NA,NA,NA,NA,NA,NA
"6848",486,546,540,NA,192,546,546,324,372,552,552,546,546,507,543,531,531,NA,525,546,408,543,NA,531,390,474,444,468,NA,NA,270,543,564,564,456,270,564,387,465,402,552,129,552,NA,NA,555,444,564,561,327,450,543,564,546,543,558,384,366,543,534,552,546,480,NA,546,NA,477,546,369,432,564,462,546,339,474,543,555,498,561,381,465,NA,564,486,543,531,567,411,399,108,NA,384,567,552,546,522,537,348,504,402,267,300,474,486,486,474,564,546,546,546,474,546,564,309,477,546,546,546,567,546,477,492,552,330,564,555,447,543,504,546,567,534,564,543,543,564,546,555,561,NA,552,564,540,NA,549,399,546,543,NA,546,486,552,555,444,NA,546,537,387,378,534,564,555,207,546,NA,423,546,564,408,402,555,390,564,NA,543,444,567,546,564,249,543,441,438,537,NA,390,348,555,399,351,561,399,474,552,507,552,555,543,528,264,543,552,546,546,555,567,543,564,552,264,795,399,495,552,552,354,546,465,NA,567,549,507,465,423,555,495,543,543,486,351,528,543,543,465,375,NA,399,543,552,516,408,555,540,543,546,408,477,384,477,396,525,546,471,567,543,546,510,423,399,477,267,525,555,543,267,393,372,396,564,546,546,546,549,540,477,549,270,564,546,504,462,267,396,555,384,546,519,546,408,546,543,543,519,567,567,546,564,402,540,408,NA,546,408,378,546,546,546,534,378,315,405,564,543,552,546,384,555,315,486,477,546,390,534,543,555,NA,NA,NA,NA,NA,312,NA,291,NA,NA,564,NA,NA,NA,NA,300,NA,NA,NA,NA,168,303,NA,300,213,NA,207,NA,NA,NA,NA,NA,291,NA
