"","PAFTOL_019361","S_670","S0055","S0156","S0196sl","S0268","S0275","S0277","S0278","S0279","S0280","S0281","S0282","S0283","S0284","S0285","S0286","S0288","S0289","S0292","S0293","S0294","S0297","S0298","S0299","S0300","S0301","S0303","S0305","S0306","S0308","S0312","S0315","S0317","S0320","S0322","S0323","S0327","S0329","S0331","S0335","S0345","S0346","S0355","S0371","S0373","S0376","S0377","S0380","S0381","S0383","S0384","S0385","S0400","S0403sl","S0405","S0407sl","S0412sl","S0416","S0417","S0419","S0420sl","S0421","S0424","S0427","S0428sl","S0430","S0435","S0436","S0450","S0464","S0478","S0509","S0512sl","S0521","S0547","S0552sl","S0555","S0558","S0560","S0562","S0577","S0583","S0590","S0591","S0593","S0612","S0613sl","S0616","S0617","S0620","S0624","S0641","S0642","S0643","S0645sl","S0647-2","S0654","S0655sl","S0656sl","S0657","S0660sl","S0662","S0664","S0667","S0669","S0670","S0671","S0672","S0673","S0677","S0688","S0689","S0690","S0691","S0717","S0718","S0720","S0721sl","S0722","S0724sl","S0726","S0727","S0728sl","S0731sl","S0732","S0733sl","S0735","S0739","S0740","S0741","S0742","S0743","S0745","S0746","S0747sl","S0748","S0751","S0752","S0753","S0754","S0756","S0757","S0758","S0760","S0762-2","S0763","S0764","S0765","S0766","S0768","S0770","S0771","S0772","S0791","S0795","S0809","S0827","S0834","S0836","S0851","S0888","S0890","S0892","S0893","S0894","S0895","S0896","S0897","S0899","S0901","S0902","S0903","S0904","S0906","S0941","S0946","S0947sl","S0949","S0951","S0952","S0954","S0956","S0957","S0959","S0960","S0963","S0964","S0989","S1011sl","S1021","S1038","S1039","S1040","S1043sl","S1044","S1045","S1050","S1052sl","S1053sl","S1069","S1072","S1074","S1077","S1083","S1089","S1093sl","S1095","S1096","S1097","S1098","S1100","S1102","S1103","S1106sl","S1110","S1111","S1113","S1114-2","S1116","S1117","S1118","S1119","S1120","S1121","S1128","S1129sl","S1148","S1168","S1176","S1177","S1180","S1181-2","S1182","S1184","S1187sl","S1188","S1189","S1201sl","S1204","S1208sl","S1210","S1211","S1213","S1214sl","S1220","S1221sl","S1223","S1227","S1229-2","S1230","S1232sl","S1234","S1235sl","S1238sl","S1239","S1241","S1245","S1246","S1249","S1250sl","S1251","S1258-2","S1260","S1261","S1262","S1266sl","S1269","S1270","S1276","S1278","S1279","S1314","S1315","S1318-2","S1319","S1328sl","S1331","S1332","S1336","S1339","S1341","S1342","S1354","S1365","S1366","S1368","S1369","S1370","S1371","S1374","S1375","S1376","S1378","S1381","S1400","S1401","S1405","S1407","S1408","S1409","S1419","S1421","S1422","S1424","S1428","S1442","S1449","S1451","S1458","S1459","S1460","S1462","S1464","S1474","S1475","S1498","S1506","S1509","S1519","S1539","S1541sl","S1561","S1579","SRR11470320","SRR8528336","SRR8528338","SRR8528339","SRR8528341","SRR8528342","SRR8528343","SRR8528347","SRR8528350","SRR8528354","SRR8528356","SRR8528357","SRR8528358","SRR8528359","SRR8528361","SRR8528364","SRR8528365","SRR8528370","SRR8528372","SRR8528373","SRR8528376","SRR8528379","SRR8528380","SRR8528381","SRR8528382","SRR8528384","SRR8528385","SRR8528388","SRR8528389","SRR8528391","SRR8528394","SRR8528397","SRR8528398","SRR8528399","SRR8528400"
"6995",NA,237,237,NA,NA,150,237,180,NA,237,237,237,NA,177,NA,237,150,NA,237,237,93,237,NA,237,180,NA,150,231,NA,NA,237,237,237,237,NA,237,237,NA,237,NA,NA,NA,237,NA,NA,237,NA,237,237,NA,NA,237,150,150,180,237,NA,237,237,237,NA,237,NA,NA,237,NA,234,237,NA,237,237,NA,NA,NA,237,237,237,237,237,NA,237,NA,237,NA,237,237,237,237,NA,NA,237,237,237,237,150,237,237,NA,93,NA,237,NA,237,NA,237,237,237,237,NA,237,237,NA,NA,NA,237,237,237,237,237,237,237,NA,237,NA,NA,237,120,237,237,237,237,237,237,237,237,237,237,237,237,NA,237,237,237,237,237,150,NA,237,NA,237,237,237,237,153,NA,237,237,NA,237,237,237,237,NA,237,NA,231,237,237,99,NA,237,180,237,NA,237,231,NA,237,237,NA,NA,237,NA,NA,237,96,237,NA,NA,NA,237,231,150,237,219,90,237,NA,150,NA,237,237,NA,NA,237,237,237,237,237,150,237,237,NA,237,150,237,237,237,NA,237,150,NA,237,237,237,NA,237,237,237,237,NA,237,237,237,237,NA,237,237,237,237,NA,NA,237,237,237,93,192,237,237,237,237,237,237,237,NA,237,237,NA,NA,231,237,237,150,159,NA,180,234,237,NA,237,150,150,237,237,237,150,237,231,237,NA,NA,237,237,237,NA,150,237,237,150,237,237,237,237,NA,237,237,219,171,237,237,237,237,NA,NA,237,240,NA,237,NA,NA,150,237,237,237,NA,150,237,NA,237,237,237,90,237,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6933",492,552,669,579,492,669,666,366,579,630,579,579,669,489,528,579,336,NA,669,579,579,666,462,669,579,576,579,492,NA,NA,630,630,669,630,579,492,669,579,630,462,579,186,579,NA,NA,669,492,669,669,426,576,630,630,579,579,669,573,495,630,579,579,666,579,NA,630,NA,579,579,579,630,579,579,651,591,579,576,669,630,669,582,579,399,669,651,666,579,579,579,669,NA,486,579,669,630,579,633,669,579,630,579,537,462,669,669,579,669,669,633,630,846,582,579,669,579,630,630,669,630,669,630,579,669,669,456,624,669,387,627,630,630,669,579,660,630,651,669,630,579,669,276,657,669,579,582,579,579,669,666,579,582,669,627,630,579,NA,630,669,576,579,579,579,669,573,579,492,579,669,NA,534,501,591,627,666,NA,579,498,579,669,669,NA,579,579,579,576,669,582,579,579,342,714,603,579,579,579,492,579,579,NA,576,573,579,630,579,630,630,579,579,630,630,579,579,573,612,630,579,579,648,492,579,669,819,579,579,492,579,579,630,579,669,579,579,630,666,630,579,327,576,630,669,651,645,543,672,630,630,339,579,579,669,579,630,579,630,669,579,579,579,669,579,630,579,579,579,579,573,243,492,492,579,669,669,669,669,648,579,579,627,618,630,486,579,669,606,630,579,579,576,669,666,579,579,669,630,579,669,669,633,579,639,657,630,579,666,579,669,630,579,669,435,243,570,669,630,630,579,579,579,435,582,336,888,576,585,579,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5038",633,705,705,NA,441,705,705,393,591,705,705,681,705,450,654,606,270,NA,654,660,546,705,486,705,444,NA,705,606,NA,NA,705,645,705,705,594,660,648,654,591,NA,705,NA,705,NA,NA,705,708,705,705,564,618,705,663,552,363,705,483,519,660,NA,705,705,606,NA,705,NA,648,705,534,591,705,NA,705,351,705,705,705,705,705,492,621,594,705,705,648,636,660,654,705,NA,NA,660,705,660,468,705,696,492,492,705,528,99,705,597,705,705,705,660,705,615,591,705,705,495,705,705,705,705,705,705,705,591,705,363,705,648,228,705,705,648,660,681,648,705,705,705,705,705,705,291,705,705,705,489,705,708,705,705,651,705,657,705,705,NA,NA,705,705,678,141,705,702,705,378,663,NA,591,648,705,NA,501,705,315,705,NA,705,405,705,705,705,NA,576,591,663,519,705,552,705,552,405,NA,705,648,543,651,519,705,705,462,300,171,702,705,681,705,705,660,705,648,705,387,705,612,591,594,339,561,705,399,171,705,705,NA,609,705,663,660,705,705,687,531,705,705,660,660,612,NA,618,705,705,435,378,600,705,705,705,NA,543,612,705,699,705,633,705,705,516,705,705,591,591,705,660,705,627,660,339,663,702,660,468,648,705,705,705,705,651,591,660,552,705,462,NA,705,705,705,660,660,552,705,705,591,705,705,660,705,705,648,705,570,705,705,558,705,360,705,705,705,492,705,594,171,321,705,660,705,594,504,648,300,648,660,651,648,651,705,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6110",339,336,336,330,336,336,336,336,336,336,342,336,336,339,342,336,NA,NA,336,342,336,336,342,336,336,336,339,339,NA,NA,342,342,342,342,327,336,342,342,342,342,342,342,342,NA,NA,342,336,342,342,342,336,336,312,336,339,336,339,336,342,336,336,336,336,NA,336,339,342,336,336,342,342,336,336,318,342,336,342,342,336,339,342,333,342,342,336,336,336,342,342,315,339,309,336,336,336,336,342,342,336,336,339,342,342,342,342,342,336,336,336,330,336,336,336,336,336,336,162,336,336,336,342,342,342,312,342,342,336,336,342,339,336,336,342,342,336,342,342,336,342,NA,342,336,342,342,336,312,336,336,NA,342,342,336,342,342,NA,336,336,336,336,336,342,342,318,336,234,330,336,336,342,339,342,336,336,NA,342,330,330,336,336,NA,219,342,342,342,342,342,336,342,339,342,342,336,342,342,NA,342,342,342,354,342,336,342,336,336,342,336,336,336,342,342,342,342,339,342,342,NA,336,336,336,336,342,339,336,330,336,342,336,336,342,339,339,336,336,342,336,336,336,342,342,336,339,342,336,336,342,336,342,339,336,342,336,336,336,336,336,336,336,330,336,342,336,336,342,342,306,342,336,339,342,336,336,336,342,342,336,342,339,342,342,339,342,336,336,336,336,342,336,336,336,336,336,336,342,336,336,336,342,339,336,342,342,339,342,342,336,339,342,342,336,321,309,336,336,342,336,318,342,321,342,339,330,324,336,330,342,NA,NA,249,NA,NA,NA,NA,NA,NA,NA,336,NA,NA,NA,NA,NA,NA,NA,NA,336,336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6016",957,1395,1395,1395,459,1395,1395,1332,1395,1395,1395,1392,1395,1395,1395,1395,1395,573,1395,1395,1203,1395,1395,786,1389,1395,1395,1167,1302,591,1395,1395,1395,1395,1317,1395,1398,1395,1395,1395,1395,1041,1395,1392,594,1395,1221,1380,1395,1191,1395,1395,1395,1380,1314,1395,1149,1206,1395,1395,1395,951,1395,1263,1395,1191,1395,1395,1398,1398,1395,1395,1395,924,1344,1278,1395,1374,1389,1395,1572,1386,1401,1401,1395,462,1395,1401,1389,684,717,1395,1395,1401,1305,1395,1347,1395,1398,1392,1392,1311,1398,1395,1404,1395,1395,1395,1395,1392,1392,1395,1395,1401,1395,1395,1395,1395,1386,1395,1395,702,1395,1380,1395,1389,1416,1392,1389,1395,1395,1395,1392,1395,1395,1398,1395,1335,1401,1335,1395,1395,1395,1392,1395,1404,1395,1395,1395,1395,1395,1395,1392,1389,NA,1395,1395,1392,1350,219,1398,1395,942,1395,1326,1392,1395,1395,1134,1392,1395,1242,1395,NA,1395,1116,1395,1395,1395,1395,1395,1260,1329,1395,1395,1395,1395,1395,1395,1371,1395,1281,1395,1395,1395,1140,1395,1395,693,1395,1395,1395,1392,1392,1395,1395,1395,1395,1395,1395,666,1392,1395,1395,1395,1386,1395,708,1398,1395,1323,1389,1287,1395,1395,1392,1392,1392,1395,1092,1395,1392,1395,1395,1392,567,1392,1401,1395,1395,960,1302,957,1395,1395,1155,1401,1392,1395,1389,1395,1395,1392,1395,1395,1395,1395,1392,1392,1395,1392,1395,1116,1389,1395,1197,846,846,1257,1395,1395,1326,1395,1395,1395,1395,1395,1395,1395,1395,1395,483,951,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,1395,846,1395,1398,1407,417,1398,846,1395,1401,1395,1395,1395,1395,1395,1395,1278,1401,1395,1395,255,1395,1398,1395,1404,1398,1395,1392,1395,1116,1395,1395,1395,1395,1392,1395,1395,1395,1395,1395,1386,789,1395,1317,1395,1395,1395,1395,1392,1395,1395,1395,1395,1395,1395,1392,1395,1371,1395,1395,1395,1350,1116,1395,162,1395
"5489",903,966,966,723,429,966,960,270,558,876,855,708,966,576,585,852,636,NA,840,933,387,966,594,714,894,NA,780,822,NA,NA,891,807,738,711,378,711,711,666,711,324,885,402,939,NA,NA,900,429,933,918,525,711,966,894,681,393,852,711,894,489,738,711,918,897,NA,966,297,711,783,699,708,711,900,192,474,849,906,927,780,966,585,738,579,711,477,966,390,852,891,708,NA,NA,807,963,708,711,897,711,915,573,789,711,162,936,816,516,885,663,966,966,711,930,696,NA,477,930,906,822,897,966,900,711,543,933,408,711,819,504,921,711,783,966,966,738,963,966,915,936,186,933,381,903,966,318,711,966,903,966,969,711,732,738,711,966,711,NA,909,804,711,528,408,711,798,339,966,408,582,906,966,501,288,966,147,966,NA,924,726,852,732,783,NA,NA,921,714,594,933,777,900,687,531,NA,876,831,711,711,711,711,966,711,663,816,195,801,966,825,711,321,894,897,933,408,795,780,711,834,711,411,855,585,147,906,558,708,603,837,708,963,963,966,711,711,720,846,876,723,783,NA,954,966,948,966,NA,711,966,966,810,399,711,618,966,711,897,909,711,966,729,801,966,711,711,711,636,966,828,618,393,711,417,465,528,966,777,711,711,738,498,777,666,711,939,414,708,966,786,936,555,711,711,966,966,966,783,963,783,222,963,780,711,561,966,711,567,897,228,867,186,723,645,933,696,138,NA,969,711,900,711,303,483,243,711,99,849,945,198,660,945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6620",639,498,642,558,501,498,498,501,495,639,645,645,624,498,501,498,456,NA,639,501,498,609,462,639,498,498,642,642,NA,NA,501,498,501,507,495,501,501,495,501,NA,645,501,615,NA,NA,567,495,501,183,453,498,456,501,498,501,579,507,498,501,501,501,642,639,NA,495,498,555,156,498,642,459,495,642,480,147,495,642,642,618,495,501,495,501,501,504,495,639,498,501,294,492,495,642,642,498,639,150,498,666,501,501,336,486,501,501,645,495,642,495,513,642,NA,642,498,642,642,192,501,498,645,642,462,615,498,642,645,474,639,645,615,642,498,606,645,639,645,645,504,645,501,615,642,147,501,501,498,498,606,501,504,501,645,501,450,NA,501,645,501,501,501,582,501,495,501,NA,501,642,642,462,645,615,501,498,NA,498,498,498,498,642,501,576,615,501,498,642,642,495,501,NA,501,645,612,453,456,501,501,501,456,474,501,495,456,639,486,645,501,501,621,645,501,456,495,501,498,153,501,501,468,498,642,501,456,498,501,501,498,501,501,459,624,501,501,495,501,495,501,495,642,645,558,501,501,642,495,510,501,501,501,498,645,495,498,645,645,498,495,495,645,501,501,645,618,147,645,498,501,501,576,456,639,498,498,462,501,645,501,486,462,501,501,501,645,639,501,495,501,498,642,156,498,501,501,501,501,642,156,645,495,618,501,594,501,501,504,642,498,501,645,639,615,501,645,645,456,495,495,501,426,501,612,645,495,642,501,645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5200",519,597,597,597,330,597,597,519,519,597,597,597,597,471,579,597,519,NA,597,597,411,558,756,597,519,561,597,519,NA,NA,597,597,597,597,519,519,576,504,597,552,519,483,597,NA,NA,597,519,597,597,396,432,597,597,597,552,597,519,519,597,519,519,597,597,NA,597,417,597,597,597,597,597,519,597,417,594,597,597,597,597,519,597,516,597,597,597,597,597,591,597,447,486,519,597,597,543,597,519,597,597,519,519,450,597,597,597,597,597,597,597,597,549,597,NA,432,597,597,597,597,597,597,597,597,NA,450,597,597,330,597,597,444,597,555,597,597,597,597,597,597,597,519,597,597,597,519,597,579,597,597,510,519,597,597,597,597,NA,597,597,519,519,597,597,597,426,597,558,519,558,597,597,597,597,507,558,NA,513,519,597,558,597,519,597,597,546,540,597,561,318,543,492,531,597,570,519,573,519,519,597,519,465,432,597,594,597,519,597,597,597,597,594,432,597,597,519,597,597,519,597,432,597,597,573,519,519,339,519,594,597,597,597,597,597,597,597,597,597,519,NA,597,597,597,597,519,597,597,597,576,597,597,597,552,597,597,597,597,489,597,597,597,519,597,597,537,519,519,318,432,597,597,597,597,597,597,600,519,519,597,546,597,597,501,597,597,597,597,570,519,519,597,597,519,597,597,597,573,597,558,543,519,597,597,597,543,597,519,597,597,597,597,519,426,582,597,597,597,597,519,519,582,597,564,597,693,519,519,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6780",315,354,354,324,324,354,324,351,327,354,351,354,354,324,294,354,351,NA,348,351,327,324,354,330,327,354,357,327,99,NA,351,354,354,354,327,333,354,324,324,354,354,252,354,NA,NA,351,354,354,351,354,354,330,330,330,324,354,327,321,351,327,351,330,321,NA,354,324,333,330,321,321,354,324,321,252,351,345,354,327,354,330,177,324,354,354,342,354,354,327,354,252,324,327,354,324,354,327,354,330,324,324,324,330,354,354,354,354,354,327,351,354,354,330,NA,327,354,321,354,354,351,327,333,330,NA,351,354,345,354,321,351,351,321,354,354,354,318,354,324,354,354,327,354,354,354,NA,351,354,354,354,348,330,351,351,354,354,NA,354,354,324,327,354,354,351,249,321,330,354,354,354,354,324,354,330,354,NA,351,324,354,354,351,324,327,354,354,330,NA,354,324,354,327,354,354,327,354,351,327,354,327,351,246,330,324,351,324,324,330,324,330,345,351,351,351,324,327,351,351,354,351,327,324,354,330,351,351,351,354,354,330,321,354,327,351,321,345,315,321,321,354,330,354,354,354,354,354,324,351,348,354,321,354,351,324,324,324,354,351,324,327,327,327,327,324,330,354,351,321,327,333,327,351,354,354,354,354,339,354,351,327,354,354,351,354,330,330,327,324,351,324,354,354,327,321,327,354,324,354,354,354,324,354,354,333,351,354,351,354,321,348,351,321,162,351,354,351,351,324,315,330,324,354,327,354,354,345,351,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123
"4889",387,387,387,NA,327,NA,345,273,417,564,348,387,387,246,333,NA,339,NA,417,471,345,387,219,387,387,NA,297,NA,NA,NA,387,387,387,567,336,417,387,336,NA,NA,NA,NA,531,NA,NA,504,345,387,387,NA,NA,NA,189,309,417,387,345,189,489,NA,471,390,516,NA,345,NA,NA,387,NA,531,426,387,NA,126,531,417,564,534,417,345,423,NA,387,NA,387,345,345,342,567,NA,189,345,504,417,387,387,318,423,417,NA,387,NA,NA,483,468,471,414,387,414,387,264,NA,162,192,387,387,387,531,417,471,417,NA,558,NA,516,417,318,387,567,516,387,NA,483,414,420,NA,567,NA,570,279,531,387,387,231,525,255,417,387,468,375,NA,471,531,375,NA,387,417,168,NA,453,282,567,192,NA,NA,294,345,417,NA,345,387,81,NA,NA,465,NA,417,387,390,141,NA,366,342,276,531,189,369,438,NA,NA,360,NA,444,522,NA,441,414,423,225,273,294,471,387,225,567,390,282,429,531,NA,471,387,339,531,471,387,NA,NA,NA,414,471,303,297,483,474,381,417,387,NA,417,399,387,387,417,345,NA,NA,420,531,387,222,468,387,126,504,NA,345,387,387,414,387,387,471,417,345,387,387,417,213,432,387,387,180,567,387,NA,417,417,387,NA,387,387,NA,471,282,453,471,471,531,345,NA,420,387,NA,387,471,345,327,387,345,387,387,522,NA,387,342,348,327,417,387,282,507,486,387,420,489,471,531,273,NA,282,387,465,471,387,387,567,NA,393,129,345,312,408,498,567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
